region,n,mean,median,p75,p90,max
NORTE,9457,88.70096929963695,55.38333333333333,103.75,190.36666666666667,1677.1666666666667
SUDESTE,76417,122.88586767342345,41.083333333333336,90.83333333333333,208.5,74652.5
NORDESTE,27777,113.62723656262375,38.68333333333333,77.91666666666667,160.03333333333333,77638.71666666666
SUL,28244,82.86699298966153,29.566666666666666,71.08749999999999,146.0,33978.5
