port_display,n,mean,median,p75,p90,max
BRITJ005 - TEPORTI - TERMINAL PORTUÁRIO DE ITAJAÍ S/A,100,56.361333333333334,48.791666666666664,71.16666666666667,97.04333333333334,216.76666666666668
BRVIX021 - TBO - TERMINAL BARCAÇAS OCEÂNICAS ARCELORMITTAL TUBARÃO,174,61.044252873563224,48.29166666666667,72.08749999999999,108.90000000000012,251.16666666666666
BRADR002 - TERMINAL BRASFELS - ANGRA DOS REIS - RJ,45,314.09259259259255,48.233333333333334,320.3333333333333,1077.8866666666668,3208.0
BRARB - ARATU,1540,74.10089826839827,47.916666666666664,71.77083333333333,168.70666666666676,846.0833333333334
BRPMA001 - PONTA DA MADEIRA - VALE,1684,56.5465360253365,47.725,59.891666666666666,76.10333333333334,1273.7
BRNTR - NITERÓI,2139,256.6818450989559,47.583333333333336,144.08333333333331,417.31666666666666,48724.5
BRSUA - SUAPE,4779,184.2769407825905,46.2,111.09166666666667,223.42666666666665,39078.916666666664
BRARB006 - MADRE DE DEUS - TRANSPETRO - BA,82,65.84979674796747,46.13333333333333,65.17916666666667,107.45500000000006,428.3833333333333
BRRS013 - CMPC - GUAIBA - RS,1567,53.11138055732823,46.0,71.65833333333333,96.22666666666667,413.0
BRIGI009 - PORTO SUDESTE,28,78.5125,45.34166666666667,60.12916666666667,154.94166666666678,416.5833333333333
BRRIG - RIO GRANDE,5483,77.36081220742902,45.083333333333336,91.45833333333334,171.16000000000003,1589.9333333333334
BR252001 - TERMINAL AQUAVIÁRIO DE GUAMARÉ,34,67.925,45.0,68.2,111.30999999999996,476.9
BRSSO - SAO SEBASTIAO,503,153.0674618952949,44.833333333333336,90.25,141.51666666666665,4923.0
BRPOA - PORTO ALEGRE - RS,629,66.32853736089031,44.78333333333333,70.86666666666666,100.79333333333334,1228.3333333333333
BRSE002 - TERMINAL AQUAVIARIO DE ARACAJU,28,43.63214285714286,44.55,47.4,61.250000000000014,96.3
BRRIO - RIO DE JANEIRO,26648,172.43462736415492,43.166666666666664,99.91666666666667,245.1333333333332,74652.5
BRRS022 - YARA PORTO ALEGRE,171,50.996588693957115,42.03333333333333,65.325,88.6,239.01666666666668
BRARB006 - TERMINAL AQUAVIÁRIO DE MADRE DE DEUS - TRANSPETRO - BA,928,68.95141882183908,41.79166666666667,61.3,113.11666666666667,1479.6
BRVIX013 - TUBARÃO - ES - CVRD,1128,44.62129137115839,41.45,50.9875,62.525000000000006,725.1666666666666
BRADR - ANGRA DOS REIS,473,110.74080338266386,40.733333333333334,126.91666666666667,208.40000000000003,9730.333333333334
BRVIX - VITÓRIA,1596,101.90848997493735,40.25,73.86666666666666,125.84166666666667,69955.6
BRIOS - ILHEUS,176,72.51761363636363,39.70833333333333,66.0625,196.75,822.0
BR400001 - TERMINAL DE MINERIO FERROPORT - PORTO DO AÇU,1297,65.64509123618608,38.75,76.91666666666667,133.56000000000003,1414.5333333333333
BRTRM001 - TERMINAL DA PETROBRÁS EM IMBÉ - TEDUT - RS,467,81.09532476802285,38.166666666666664,95.9,192.64000000000004,1119.5
BRVIX018 - PORTOCEL - TERMINAL BARRA DO RIACHO - ES,1362,48.00843122858541,36.166666666666664,70.66666666666667,106.7566666666667,751.2166666666667
BRSSO002 - TERMINAL TRANSPETRO - GEBAST - SÃO SEBASTIÃO - SP,2012,57.270717362491716,35.75,49.0,97.5,1308.0
BRAMW001 - ALUMAR - SÃO LUIZ - MA,1067,56.3650109340831,35.46666666666667,49.49166666666667,74.25666666666666,1722.6666666666667
BRSSO002 - TERMINAL AQUAVIÁRIO DE SÃO SEBASTIÃO - ALMIRANTE BARROSO - SP,178,57.63014981273408,34.5,46.0,68.60000000000002,666.5
BRVIX017 - PONTA DE UBU - ES - SAMARCO MINERAÇÃO SA,391,59.04565217391304,34.35,49.18333333333334,81.88333333333334,1614.0
BRBEL - BELEM,1843,64.42444384156266,33.8,84.225,149.26666666666665,1677.1666666666667
BRARB003 - TERMINAL DA DOW BRASIL - ARATU - BA,248,37.436290322580646,33.70833333333333,41.8125,60.150000000000006,191.1
BRMAO - MANAUS,43,36.79651162790697,33.5,45.5,55.800000000000004,75.5
BR400001 - FERROPORT - PORTO DO AÇU,75,72.93577777777777,33.0,71.675,216.60000000000008,381.1
BRPNG - PARANAGUA,8115,74.08286711850482,31.95,70.375,146.6266666666667,7821.5
BRARB003 - DOW BRASIL - ARATU - BA,22,40.483333333333334,30.375,34.604166666666664,62.058333333333344,196.16666666666666
BR147001 - TESC - TERMINAL SANTA CLARA - RS,100,39.57633333333333,29.741666666666667,53.625,82.30833333333335,130.3
BRMCZ - MACEIÓ,236,66.2239406779661,28.683333333333334,85.89166666666667,145.25,640.0
BRMEA001 - TERMINAL PETROBRÁS - MACAÉ - RJ,3531,45.86909279713018,28.5,54.04166666666667,98.38333333333334,1623.5
BRTMT001 - TERMINAL FLUVIAL MRN TROMBETAS - SANTARÉM - PA,763,30.16771515945828,27.133333333333333,35.75,47.40666666666668,187.71666666666667
