operation_flag,target,n_true,pct_true,median_true,median_false,median_diff,mean_true,mean_false,mean_diff,corr,abs_median_diff,abs_corr
op_reparo_manutencao,t_operation_h,352,0.2480707565453328,99.775,35.38333333333333,64.39166666666668,233.5828125,99.3430372160168,134.2397752839832,0.008433648471968615,64.39166666666668,0.008433648471968615
op_navio_estado_marinha_brasil,t_operation_h,188,0.1324923358821664,77.79166666666666,35.416666666666664,42.37499999999999,89.4279255319149,99.68964283109985,-10.261717299184951,-0.00047142582666826843,42.37499999999999,0.00047142582666826843
op_navio_estado_com_operacao_comercial,t_operation_h,190,0.13390182881708304,77.79166666666666,35.416666666666664,42.37499999999999,90.08929824561402,99.68890088564271,-9.599602640028692,-0.0004433445691142735,42.37499999999999,0.0004433445691142735
op_navio_estado_sem_operacao_comercial,t_operation_h,207,0.1458825187638747,77.25,35.416666666666664,41.833333333333336,97.58212560386474,99.67910596992452,-2.096980366059782,-0.00010107990395483824,41.833333333333336,0.00010107990395483824
op_retirada_residuos_com_operacao_comercial,t_operation_h,193,0.13601606821945805,76.31666666666666,35.416666666666664,40.9,88.51899827288428,99.69124289000861,-11.172244617124335,-0.0005200269236191324,40.9,0.0005200269236191324
op_retirada_residuos_sem_operacao_comercial,t_operation_h,204,0.14376827936149972,76.15833333333333,35.416666666666664,40.74166666666667,99.13831699346406,99.67682104015074,-0.5385040466866826,-2.5768784658858357e-05,40.74166666666667,2.5768784658858357e-05
op_desembarque_passageiros,t_operation_h,2613,1.8415025194686212,11.666666666666666,35.75,-24.083333333333336,97.75878938640133,99.71201555118392,-1.953226164782592,-0.0003316564776301305,24.083333333333336,0.0003316564776301305
op_embarque_passageiros,t_operation_h,2606,1.8365692941964127,11.75,35.733333333333334,-23.983333333333334,100.92085571757482,99.65275733666455,1.2680983809102742,0.00021503904002069304,23.983333333333334,0.00021503904002069304
op_solicitacao_certificado,t_operation_h,2884,2.032488812149829,17.0,35.56666666666667,-18.56666666666667,545.0460818307905,90.43615085616725,454.60993097462324,0.08101769425290224,18.56666666666667,0.08101769425290224
op_arribada,t_operation_h,463,0.32629761443320765,52.416666666666664,35.40833333333333,17.008333333333333,78.94301655867531,99.74391969285594,-20.80090313418063,-0.001498184422431738,17.008333333333333,0.001498184422431738
