region,n_port_calls,median_wait,median_operation,median_total,std_wait,std_total
NORTE,9457,0.0,48.083333333333336,55.38333333333333,40.47231558410866,115.34380253554853
NORDESTE,27777,0.0,35.016666666666666,38.68333333333333,37.32300040206614,890.7055183980915
SUDESTE,76417,0.0,36.36666666666667,41.083333333333336,69.13750101987982,899.2191086106528
SUL,28244,0.0,28.8,29.566666666666666,74.74937427157123,451.3544117510977
