Período: 01/05/2023 à 31/07/2023;Porto;DUVs Atracados;DUVs Atracados - Desatracados;DUVs Atracados - Não Desatracados;DUVs com Previsão de Desatracação;DUVs com Previsão de Desatracação - Cancelados;DUVs com Previsão de Desatracação - Não Solicitou Atracação;DUVs com Previsão de Desatracação - Desatracados;DUVs com Previsão de Desatracação - Não Desatracados(*);DUVs Desatracados no Período
;TEPORTI - TERMINAL ;4;4;0;5;0;0;5;0;5
;TERFRON - TERMINAL ;0;0;0;28;4;11;0;13;0
;TERGASUL - CANOAS - RS ;12;12;0;12;0;0;12;0;12
;TERMINAL AQUAVIARIO ;1;1;0;1;0;0;1;0;1
;TERMINAL AQUAVIÁRIO ;21;20;1;22;1;0;20;1;20
;TERMINAL AQUAVIÁRIO ;11;7;4;11;0;0;7;4;7
;TERMINAL AQUAVIÁRIO ;0;0;0;0;0;0;0;0;0
;TERMINAL AQUAVIÁRIO ;0;0;0;0;0;0;0;0;0
;TERMINAL BELMONTE - BA ;37;37;0;41;0;4;37;0;37
;TERMINAL DE BENTO ;0;0;0;22;3;13;0;6;0
;TERMINAL DE CARAVELAS ;0;0;0;0;0;0;0;0;0
;TERMINAL DE GRÃOS ;26;23;3;33;3;0;24;6;24
;TERMINAL FLUVIAL ;1;1;0;1;0;0;1;0;1
;TERMINAL FLUVIAL DE ;28;27;1;32;1;0;29;2;28
;TERMINAL FLUVIAL MRN ;57;57;0;70;3;8;59;0;58
;TERMINAL FLUVIAL RIO ;9;9;0;10;1;0;9;0;9
;TERMINAL PETROBRÁS - ;265;256;9;507;67;111;256;73;259
;TERMINAL PORTUÁRIO ;3;2;1;3;0;0;2;1;2
;TERMINAL TRANSPETRO - ;111;91;20;142;5;10;96;31;96
;TERMINAL TRANSPETRO - ;165;158;7;217;6;23;161;27;163
;TESC - TERMINAL SANTA ;5;5;0;84;3;74;5;2;5
;TFB - EQUADOR LOG - ;27;26;1;34;2;4;27;1;27
;THYSSENKRUPP TERNIUM ;41;37;4;45;3;0;40;2;40
