Período: 01/08/2022 à 31/10/2022;Porto;DUVs Atracados;DUVs Atracados - Desatracados;DUVs Atracados - Não Desatracados;DUVs com Previsão de Desatracação;DUVs com Previsão de Desatracação - Cancelados;DUVs com Previsão de Desatracação - Não Solicitou Atracação;DUVs com Previsão de Desatracação - Desatracados;DUVs com Previsão de Desatracação - Não Desatracados(*);DUVs Desatracados no Período
;TERGASUL - CANOAS - RS ;5;5;0;5;0;0;5;0;5
;TERMINAL AQUAVIARIO ;2;2;0;2;0;0;2;0;2
;TERMINAL AQUAVIÁRIO ;31;31;0;30;0;0;30;0;30
;TERMINAL AQUAVIÁRIO ;19;19;0;20;1;0;19;0;19
;TERMINAL AQUAVIÁRIO ;174;174;0;225;16;13;174;22;172
;TERMINAL AQUAVIÁRIO ;0;0;0;0;0;0;0;0;0
;TERMINAL BELMONTE - BA ;37;37;0;37;0;0;37;0;37
;TERMINAL DE BENTO ;9;9;0;22;1;4;9;8;9
;TERMINAL DE CARAVELAS ;0;0;0;0;0;0;0;0;0
;TERMINAL DE GRÃOS ;26;21;5;29;3;1;20;5;20
;TERMINAL FLUVIAL ;2;2;0;2;0;0;2;0;2
;TERMINAL FLUVIAL DE ;24;24;0;26;0;0;26;0;25
;TERMINAL FLUVIAL MRN ;57;57;0;59;1;0;57;1;57
;TERMINAL FLUVIAL RIO ;10;10;0;10;0;0;10;0;10
;TERMINAL PETROBRÁS - ;302;279;23;1328;751;115;276;186;280
;TERMINAL TRANSPETRO - ;79;65;14;128;2;8;65;53;66
;TESC - TERMINAL SANTA ;61;61;0;115;0;53;62;0;62
;TFB - EQUADOR LOG - ;33;33;0;33;0;0;33;0;33
;THYSSENKRUPP TERNIUM ;34;33;1;39;3;1;34;1;34
;TLP - TERMINAL ;0;0;0;0;0;0;0;0;0
;TMIB - TERMINAL INACIO ;14;14;0;15;1;0;14;0;14
;TPS - TERMINAL ;62;62;0;71;4;1;66;0;63
;TRBA - TERMINAL DE ;4;4;0;7;2;0;5;0;4
;TRIGOLAR - OCRIM - ;2;2;0;2;0;0;2;0;2
;TUBARÃO - ES - CVRD - ;87;87;0;153;18;7;87;41;87
;VILA DO CONDE - BRVDC;121;114;7;320;71;48;120;81;122
;VITÓRIA - BRVIX;165;165;0;290;24;37;170;59;171
;YARA CANOAS - BRRS028;0;0;0;0;0;0;0;0;0
;YARA PORTO ALEGRE - ;18;18;0;19;2;0;17;0;17
