Período: 01/05/2025 à 31/07/2025;Porto;DUVs Atracados;DUVs Atracados - Desatracados;DUVs Atracados - Não Desatracados;DUVs com Previsão de Desatracação;DUVs com Previsão de Desatracação - Cancelados;DUVs com Previsão de Desatracação - Não Solicitou Atracação;DUVs com Previsão de Desatracação - Desatracados;DUVs com Previsão de Desatracação - Não Desatracados(*);DUVs Desatracados no Período
;ALUMAR - SÃO LUIZ - MA - ;83;80;3;85;1;1;80;3;80
;ANGRA DOS REIS - BRADR;67;55;12;217;8;36;55;118;55
;ANTONINA - BRANT;20;18;2;23;2;0;18;3;18
;ARATU - BRARB;105;104;1;129;19;1;105;4;106
;AREIA BRANCA (TERMISA) ;266;266;0;269;4;0;265;0;265
;ATEM BELÉM - BRBEL007;4;4;0;5;1;0;4;0;4
;ATEM MIRITITUBA - ;0;0;0;0;0;0;0;0;0
;ATEM SANTARÉM - ;7;6;1;8;1;0;7;0;7
;ATRACADOURO BARRA ;0;0;0;0;0;0;0;0;0
;ATRACADOURO DE ;0;0;0;0;0;0;0;0;0
;BARRA DO RIACHO - ;0;0;0;10;2;3;0;5;0
;BARRA DO RIO TERMINAL ;20;18;2;21;2;0;18;1;18
;BELEM - BRBEL;160;135;25;217;17;31;132;37;133
;BERTOLINI SANTARÉM - ;0;0;0;0;0;0;0;0;0
;BIANCHINI - CANOAS - RS ;47;42;5;59;6;2;46;5;44
;BRASKEM - MACEIO - AL - ;11;11;0;15;0;2;12;1;12
;CABEDELO - BRCDO;22;22;0;30;3;0;22;5;22
;CELSE TERMINAL DE ;0;0;0;0;0;0;0;0;0
;CHIBATÃO NAVEGAÇÃO E ;57;57;0;61;3;1;57;0;58
;CIA FLORESTAL MONTE ;0;0;0;0;0;0;0;0;0
;CIA PORTUARIA VILA ;41;41;0;44;0;2;40;2;40
;CIA. REFINADORA DA ;0;0;0;0;0;0;0;0;0
;CIMENTO VENCEMOS DO ;3;3;0;3;0;0;3;0;3
;CIMPOR - BRMRS001;0;0;0;0;0;0;0;0;0
;CMPC - GUAIBA - RS - ;128;125;3;145;3;14;124;4;124
;COPELMI - BRCQD002;0;0;0;2;2;0;0;0;0
;COTEGIPE - SALVADOR - ;38;37;1;44;6;1;36;1;36
;DETROIT BRASIL LTDA - ;0;0;0;8;3;2;1;2;1
;ENEVA - TERMINAL GNL - ;0;0;0;0;0;0;0;0;0
;ESTALEIRO ENSEADA ;5;4;1;5;0;0;4;1;4
;ESTALEIRO JURONG - ;1;0;1;3;0;3;0;0;0
;ESTALEIRO NAVSHIP - ;1;1;0;15;0;9;1;5;1
;ETC BERTOLINI ;0;0;0;0;0;0;0;0;0
;ETC BERTOLINI SANTANA - ;0;0;0;0;0;0;0;0;0
;FORD MOTOR - ARATU - ;0;0;0;0;0;0;0;0;0
;FORNO (ARRAIAL DO ;0;0;0;0;0;0;0;0;0
;FORTALEZA (MUCURIPE) - ;132;124;8;153;5;3;133;12;133
;FUNDEADOURO - ;0;0;0;0;0;0;0;0;0
;HIDROVIAS DO BRASIL - ;0;0;0;0;0;0;0;0;0
;HIDROVIAS DO BRASIL - ;0;0;0;51;11;13;0;27;0
;IBEPAR MANAUS - ;0;0;0;0;0;0;0;0;0
;ILHEUS - BRIOS;5;5;0;5;0;0;5;0;5
;IMBITUBA - BRIBB;83;82;1;92;6;1;85;0;85
;INSTALAÇÃO PORTUÁRIA ;0;0;0;0;0;0;0;0;0
;ITAGUAÍ - BRIGI;165;163;2;228;24;15;164;25;165
;ITAJAI - BRITJ;94;93;1;121;16;6;92;7;93
;ITAPOA - SC - BRIOA001;177;177;0;224;21;17;177;9;178
;ITAQUI - BRIQI;260;207;53;311;28;15;213;55;210
;J. F. DE OLIVEIRA ;0;0;0;0;0;0;0;0;0
;KEPPEL SINGMARINE ;0;0;0;0;0;0;0;0;0
;LAGUNA - BRVLL;0;0;0;0;0;0;0;0;0
;MACEIÓ - BRMCZ;0;0;0;80;3;52;0;25;0
;MANAUS - BRMAO;1;1;0;2;0;1;1;0;1
;MMX PORTO SUDESTE - ;42;39;3;59;5;1;42;11;42
;NATAL - BRNAT;30;28;2;36;2;0;32;2;32
;NITERÓI - BRNTR;160;146;14;218;13;24;153;28;159
;NOV FLEXIBLES - ;0;0;0;0;0;0;0;0;0
;OLEOPLAN CANOAS RS - ;14;14;0;17;3;0;14;0;14
;PARANAGUA - BRPNG;662;647;15;781;64;11;647;59;648
;PECEM - BRPEC;182;176;6;194;13;0;176;5;180
;PELOTAS - BRPET;149;149;0;157;8;0;149;0;148
;PONTA DA MADEIRA - ;167;111;56;188;14;3;111;60;111
;PONTA DE UBU - ES - ;35;35;0;40;1;2;35;2;35
;PORTO ALEGRE - RS - ;38;37;1;54;16;1;36;1;35
;PORTOCEL - TERMINAL ;111;107;4;122;5;3;109;5;105
;PORTO CRAI - BRPA033;0;0;0;0;0;0;0;0;0
;PORTO DO AÇU - BRRJ022;410;403;7;1431;37;523;424;447;417
;PORTO FLUVIAL DE USO ;0;0;0;0;0;0;0;0;0
;PORTO FLUVIAL DE USO ;0;0;0;0;0;0;0;0;0
;PORTO VELHO - RO - ;0;0;0;0;0;0;0;0;0
;RECIFE - BRREC;90;85;5;96;1;0;89;6;87
;RIO DE JANEIRO - BRRIO;2056;1982;74;2482;126;132;1998;226;2049
;RIO GRANDE - BRRIG;448;438;10;859;46;218;437;158;433
;SALVADOR - BRSSA;78;75;3;220;30;36;74;80;74
;SANTAREM - BRSTM;62;57;5;100;4;13;61;22;61
;SANTOS - BRSSZ;1458;1360;98;1653;121;29;1369;134;1373
;SAO FRANCISCO DO SUL - ;128;127;1;152;12;8;129;3;129
;SAO SEBASTIAO - BRSSO;25;25;0;37;3;4;27;3;27
;SUAPE - BRSUA;390;382;8;433;28;8;384;13;382
;SUPER TERMINAIS - ;27;27;0;29;2;0;27;0;27
;TBO - TERMINAL ;12;12;0;13;1;0;12;0;12
;TEMINAL DE BENTO ;0;0;0;40;1;8;0;31;0
;TEPORTI - TERMINAL ;9;9;0;9;0;0;9;0;9
;TERFRON - TERMINAL ;1;1;0;32;1;17;2;12;2
;TERGASUL - CANOAS - RS ;8;8;0;9;0;0;8;1;8
;TERM AQUAVIARIO DE ;14;14;0;15;0;0;15;0;15
;TERMINAL AMAZONGÁS - ;0;0;0;0;0;0;0;0;0
;TERMINAL AQUAVIARIO ;3;3;0;3;0;0;3;0;3
;TERMINAL AQUAVIARIO ;0;0;0;0;0;0;0;0;0
;TERMINAL AQUAVIÁRIO ;80;77;3;90;7;0;77;6;77
;TERMINAL AQUAVIARIO ;11;11;0;34;0;21;11;2;12
;TERMINAL AQUAVIÁRIO ;17;15;2;18;0;0;16;2;16
;TERMINAL AQUAVIÁRIO ;0;0;0;32;4;8;0;20;0
;TERMINAL AQUAVIÁRIO ;0;0;0;0;0;0;0;0;0
;TERMINAL BELMONTE - BA ;39;39;0;39;0;0;39;0;39
;TERMINAL BRASFELS - ;6;4;2;6;0;0;5;1;5
;TERMINAL DA BABITONGA ;0;0;0;0;0;0;0;0;0
;TERMINAL DA BRASKARNE ;4;4;0;4;1;0;3;0;3
;TERMINAL DA CARGILL - ;0;0;0;0;0;0;0;0;0
;TERMINAL DA DOW ;18;18;0;17;0;0;17;0;17
;TERMINAL DA DOW ;2;2;0;4;0;2;2;0;2
