Período: 01/02/2025 à 30/04/2025;Porto;DUVs Atracados;DUVs Atracados - Desatracados;DUVs Atracados - Não Desatracados;DUVs com Previsão de Desatracação;DUVs com Previsão de Desatracação - Cancelados;DUVs com Previsão de Desatracação - Não Solicitou Atracação;DUVs com Previsão de Desatracação - Desatracados;DUVs com Previsão de Desatracação - Não Desatracados(*);DUVs Desatracados no Período
;ALUMAR - SÃO LUIZ - MA - ;79;77;2;80;1;0;77;2;77
;ANGRA DOS REIS - BRADR;58;49;9;239;18;47;53;121;54
;ANTONINA - BRANT;10;10;0;11;0;0;10;1;10
;ARATU - BRARB;114;114;0;126;11;0;113;2;115
;AREIA BRANCA (TERMISA) ;297;297;0;305;7;0;298;0;298
;ATEM BELÉM - BRBEL007;1;0;1;2;0;0;0;2;0
;ATEM MIRITITUBA - ;0;0;0;0;0;0;0;0;0
;ATEM SANTARÉM - ;5;5;0;5;1;0;4;0;4
;ATRACADOURO BARRA ;33;33;0;34;1;0;33;0;33
;ATRACADOURO DE ;11;3;8;12;1;0;3;8;3
;BARRA DO RIACHO - ;0;0;0;6;2;0;0;4;0
;BARRA DO RIO TERMINAL ;29;29;0;35;3;2;30;0;31
;BELEM - BRBEL;140;129;11;176;14;16;134;12;130
;BERTOLINI SANTARÉM - ;0;0;0;0;0;0;0;0;0
;BIANCHINI - CANOAS - RS ;73;60;13;78;6;0;59;13;60
;BRASKEM - MACEIO - AL - ;10;10;0;12;0;2;10;0;10
;CABEDELO - BRCDO;22;22;0;24;2;0;22;0;22
;CELSE TERMINAL DE ;0;0;0;0;0;0;0;0;0
;CHIBATÃO NAVEGAÇÃO E ;58;58;0;60;2;0;58;0;58
;CIA FLORESTAL MONTE ;0;0;0;0;0;0;0;0;0
;CIA PORTUARIA VILA ;41;41;0;47;3;2;42;0;42
;CIA. REFINADORA DA ;0;0;0;0;0;0;0;0;0
;CIMENTO VENCEMOS DO ;5;5;0;6;0;0;6;0;6
;CIMPOR - BRMRS001;0;0;0;0;0;0;0;0;0
;CMPC - GUAIBA - RS - ;127;126;1;153;10;5;131;7;131
;COPELMI - BRCQD002;0;0;0;1;0;1;0;0;0
;COTEGIPE - SALVADOR - ;39;39;0;42;5;0;37;0;37
;DETROIT BRASIL LTDA - ;1;0;1;1;0;0;0;1;0
;ENEVA - TERMINAL GNL - ;1;1;0;2;0;1;1;0;1
;ESTALEIRO ENSEADA ;5;5;0;8;1;0;7;0;7
;ESTALEIRO JURONG - ;5;3;2;9;0;3;3;3;3
;ESTALEIRO NAVSHIP - ;0;0;0;16;2;6;0;8;0
;ETC BERTOLINI ;0;0;0;0;0;0;0;0;0
;ETC BERTOLINI SANTANA - ;0;0;0;0;0;0;0;0;0
;FORD MOTOR - ARATU - ;0;0;0;1;1;0;0;0;0
;FORNO (ARRAIAL DO ;0;0;0;0;0;0;0;0;0
;FORTALEZA (MUCURIPE) - ;153;139;14;172;7;2;149;14;148
;FUNDEADOURO - ;0;0;0;0;0;0;0;0;0
;HIDROVIAS DO BRASIL - ;0;0;0;0;0;0;0;0;0
;HIDROVIAS DO BRASIL - ;0;0;0;39;3;14;0;22;0
;IBEPAR MANAUS - ;0;0;0;0;0;0;0;0;0
;ILHEUS - BRIOS;23;21;2;26;2;1;21;2;21
;IMBITUBA - BRIBB;79;78;1;86;8;0;76;2;77
;INSTALAÇÃO PORTUÁRIA ;7;7;0;10;2;1;7;0;7
;ITAGUAÍ - BRIGI;153;148;5;200;17;18;146;19;144
;ITAJAI - BRITJ;101;96;5;124;14;2;98;10;97
;ITAPOA - SC - BRIOA001;176;176;0;207;17;14;174;2;176
;ITAQUI - BRIQI;227;156;71;273;23;14;155;81;156
;J. F. DE OLIVEIRA ;0;0;0;0;0;0;0;0;0
;KEPPEL SINGMARINE ;0;0;0;0;0;0;0;0;0
;LAGUNA - BRVLL;0;0;0;0;0;0;0;0;0
;MACEIÓ - BRMCZ;0;0;0;106;4;87;0;15;0
;MANAUS - BRMAO;7;7;0;9;2;0;7;0;7
;MMX PORTO SUDESTE - ;49;47;2;52;3;0;47;2;48
;NATAL - BRNAT;44;44;0;43;1;1;41;0;41
;NITERÓI - BRNTR;149;145;4;200;23;8;149;20;150
;NOV FLEXIBLES - ;0;0;0;0;0;0;0;0;0
;OLEOPLAN CANOAS RS - ;6;6;0;6;0;0;6;0;7
;PARANAGUA - BRPNG;648;623;25;731;57;11;626;37;627
;PECEM - BRPEC;187;184;3;195;9;0;184;2;186
;PELOTAS - BRPET;139;139;0;142;4;0;138;0;139
;PONTA DA MADEIRA - ;125;107;18;145;6;9;111;19;109
;PONTA DE UBU - ES - ;30;30;0;33;1;1;30;1;30
;PORTO ALEGRE - RS - ;28;28;0;46;18;0;28;0;29
;PORTOCEL - TERMINAL ;104;103;1;115;6;2;103;4;103
;PORTO CRAI - BRPA033;0;0;0;0;0;0;0;0;0
;PORTO DO AÇU - BRRJ022;79;77;2;1415;67;596;77;675;76
;PORTO FLUVIAL DE USO ;0;0;0;0;0;0;0;0;0
;PORTO FLUVIAL DE USO ;0;0;0;0;0;0;0;0;0
;PORTO VELHO - RO - ;0;0;0;0;0;0;0;0;0
;RECIFE - BRREC;101;97;4;104;1;0;100;3;102
;RIO DE JANEIRO - BRRIO;2060;2012;48;2430;172;99;2006;153;2042
;RIO GRANDE - BRRIG;427;417;10;814;47;215;422;130;420
;SALVADOR - BRSSA;141;135;6;255;33;24;139;59;140
;SANTANA/MACAPA - ;35;31;4;50;5;0;31;14;31
;SANTAREM - BRSTM;58;56;2;84;8;7;57;12;57
;SANTOS - BRSSZ;1102;1064;38;1630;136;56;1121;317;1102
;SAO FRANCISCO DO SUL - ;119;117;2;141;13;3;121;4;121
;SAO SEBASTIAO - BRSSO;49;49;0;77;6;17;48;6;48
;SUAPE - BRSUA;345;337;8;386;23;9;342;12;343
;SUPER TERMINAIS - ;27;27;0;26;0;0;26;0;25
;TBO - TERMINAL ;12;12;0;13;0;0;12;1;12
;TEMINAL DE BENTO ;0;0;0;37;0;13;0;24;0
;TEPORTI - TERMINAL ;10;10;0;12;0;0;11;1;11
;TERFRON - TERMINAL ;0;0;0;28;3;14;0;11;0
;TERGASUL - CANOAS - RS ;3;3;0;5;2;0;3;0;3
;TERM AQUAVIARIO DE ;7;7;0;6;0;0;6;0;6
;TERMINAL AMAZONGÁS - ;0;0;0;0;0;0;0;0;0
;TERMINAL AQUAVIARIO ;2;2;0;2;0;0;2;0;3
;TERMINAL AQUAVIARIO ;9;9;0;12;1;0;11;0;11
;TERMINAL AQUAVIÁRIO ;77;75;2;79;2;0;74;3;74
;TERMINAL AQUAVIARIO ;10;10;0;25;0;13;11;1;10
;TERMINAL AQUAVIÁRIO ;19;19;0;20;1;1;18;0;18
;TERMINAL AQUAVIÁRIO ;0;0;0;26;0;23;0;3;0
;TERMINAL AQUAVIÁRIO ;0;0;0;0;0;0;0;0;0
;TERMINAL BELMONTE - BA ;35;35;0;38;1;2;35;0;35
;TERMINAL BRASFELS - ;4;4;0;4;1;0;3;0;3
;TERMINAL DA BABITONGA ;0;0;0;1;0;0;1;0;1
;TERMINAL DA BRASKARNE ;5;5;0;8;2;0;6;0;6
;TERMINAL DA CARGILL - ;0;0;0;0;0;0;0;0;0
;TERMINAL DA DOW ;17;17;0;20;2;0;18;0;18
;TERMINAL DA DOW ;2;2;0;2;0;0;2;0;2
;TERMINAL DA FOGÁS - ;0;0;0;0;0;0;0;0;0
;TERMINAL DA PETROBRÁS ;36;35;1;43;1;7;34;1;34
;TERMINAL DE CARAVELAS ;0;0;0;0;0;0;0;0;0
;TERMINAL DE CARVÃO DA ;0;0;0;34;0;3;0;31;0
;TERMINAL DE EXPEDIÇÃO ;0;0;0;0;0;0;0;0;0
;TERMINAL DE GRÃOS ;1;1;0;10;1;2;0;7;0
;TERMINAL DE MINERIO ;115;103;12;127;3;2;106;16;105
;TERMINAL FLUVIAL ;1;1;0;1;0;0;1;0;1
;TERMINAL FLUVIAL DE ;32;32;0;35;2;0;33;0;33
;TERMINAL FLUVIAL ;6;6;0;6;0;0;6;0;6
;TERMINAL FLUVIAL ;0;0;0;0;0;0;0;0;0
;TERMINAL FLUVIAL MRN ;54;54;0;59;4;1;54;0;54
;TERMINAL FLUVIAL RIO ;6;6;0;8;1;0;7;0;7
;TERMINAL HERMASA DA ;41;38;3;40;0;0;38;2;38
;TERMINAL MBR ILHA ;21;21;0;46;9;4;22;11;23
;TERMINAL MERLIM - ;42;42;0;50;7;2;40;1;42
;TERMINAL PETROBRÁS - ;328;315;13;486;32;66;320;68;314
;TERMINAL PORTONAVE - ;133;133;0;149;15;1;133;0;133
;TERMINAL PORTUÁRIO ;16;16;0;89;3;55;14;17;14
;TERMINAL PORTUÁRIO ;21;21;0;20;0;0;20;0;20
;TERMINAL PORTUARIO ;0;0;0;0;0;0;0;0;0
;TERMINAL PORTUÁRIO ;0;0;0;0;0;0;0;0;0
;TERMINAL TRANSPETRO - ;124;123;1;132;7;0;124;1;124
;TERMINAL TRANSPETRO - ;167;162;5;193;3;13;164;13;164
;TERMINAL VETORIAL ;0;0;0;0;0;0;0;0;0
;TFB - EQUADOR LOG - ;14;13;1;16;0;0;13;3;13
;THYSSENKRUPP TERNIUM ;26;26;0;30;2;0;28;0;26
;TLP - TERMINAL ;0;0;0;0;0;0;0;0;0
;TMG-ITAPUA - TERMINAL ;18;18;0;17;0;0;17;0;17
;TMIB - TERMINAL INACIO ;16;15;1;16;0;0;15;1;15
;TPS - TERMINAL ;59;57;2;61;2;1;57;1;57
;TRBA - TERMINAL DE ;0;0;0;2;1;0;0;1;0
;TRIGOLAR - OCRIM - ;0;0;0;2;1;0;0;1;0
;TROCADEIRO PORTOS E ;0;0;0;1;1;0;0;0;0
;TUBARÃO - ES - CVRD - ;77;77;0;124;18;6;73;27;76
;TUP NSR - NOVA SANTA ;6;6;0;6;0;0;6;0;6
;TUP SUPERGASBRAS - ;0;0;0;1;1;0;0;0;0
;VILA DO CONDE - BRVDC;243;225;18;349;16;58;223;52;224
;VITÓRIA - BRVIX;99;99;0;254;17;53;103;81;103
;YARA CANOAS - BRRS028;0;0;0;0;0;0;0;0;0
;YARA PORTO ALEGRE - ;18;18;0;20;2;1;17;0;17
