Período: 01/08/2023 à 31/10/2023;Porto;DUVs Atracados;DUVs Atracados - Desatracados;DUVs Atracados - Não Desatracados;DUVs com Previsão de Desatracação;DUVs com Previsão de Desatracação - Cancelados;DUVs com Previsão de Desatracação - Não Solicitou Atracação;DUVs com Previsão de Desatracação - Desatracados;DUVs com Previsão de Desatracação - Não Desatracados(*);DUVs Desatracados no Período
;ILHEUS - BRIOS;11;11;0;20;2;3;12;3;12
;IMBITUBA - BRIBB;77;73;4;97;8;5;78;6;78
;INSTALAÇÃO PORTUÁRIA ;0;0;0;0;0;0;0;0;0
;ITAGUAÍ - BRIGI;151;133;18;220;26;17;131;46;131
;ITAJAÍ - BRITJ;36;15;21;46;4;3;16;23;16
;ITAPOA - SC - BRIOA001;148;148;0;193;14;20;149;10;150
;ITAQUI - BRIQI;251;173;78;308;18;25;181;84;182
;J. F. DE OLIVEIRA ;0;0;0;0;0;0;0;0;0
;LAGUNA - BRVLL;0;0;0;0;0;0;0;0;0
;MACEIÓ - BRMCZ;27;25;2;76;5;31;26;14;26
;MADRE DE DEUS - ;80;76;4;89;3;0;76;10;76
;MANAUS - BRMAO;1;1;0;1;0;0;1;0;1
;MERLIN LUDEMAX - RS - ;47;46;1;53;5;2;46;0;46
;NATAL - BRNAT;49;47;2;54;3;0;49;2;49
;NITERÓI - BRNTR;152;139;13;207;15;11;155;26;154
;NOV FLEXIBLES - ;0;0;0;0;0;0;0;0;0
;OLEOPLAN CANOAS RS - ;46;46;0;50;3;0;47;0;46
;PARANAGUA - BRPNG;621;590;31;769;46;22;606;95;605
;PECEM - BRPEC;184;181;3;233;44;0;187;2;186
;PELOTAS - BRPET;134;134;0;144;6;0;138;0;136
;POLY TERMINAIS (DOW ;0;0;0;0;0;0;0;0;0
;PONTA DA MADEIRA - ;181;115;66;214;2;11;117;84;116
;PONTA DE UBU - ES - ;28;27;1;30;2;0;27;1;27
;PORTO ALEGRE - RS - ;64;62;2;80;16;0;64;0;63
;PORTOCEL - TERMINAL ;102;98;4;112;3;3;99;7;100
;PORTO CRAI - BRPA033;0;0;0;0;0;0;0;0;0
;PORTO DO AÇU - BRRJ022;1230;1191;39;1402;46;92;1223;41;1217
;PORTO FLUVIAL DE USO ;0;0;0;0;0;0;0;0;0
;PORTONAVE - ;136;136;0;252;57;21;152;22;138
;PORTO SUDESTE - ;50;47;3;60;6;1;48;5;48
;PORTO VELHO - RO - ;0;0;0;0;0;0;0;0;0
;PRAIA MOLE - ES - ;0;0;0;46;6;2;0;38;0
;RECIFE - BRREC;104;98;6;110;1;2;105;2;105
;RIO DE JANEIRO - BRRIO;1999;1881;118;2541;124;179;1982;256;1995
;RIO GRANDE - BRRIG;420;387;33;848;45;326;398;79;398
;SALVADOR - BRSSA;237;235;2;304;39;6;255;4;239
;SANTANA/MACAPA - ;18;17;1;20;1;0;18;1;18
;SANTAREM - BRSTM;61;49;12;91;8;3;53;27;53
;SANTOS - BRSSZ;1358;1256;102;1603;130;42;1302;129;1300
;SAO FRANCISCO DO SUL - ;70;69;1;153;16;16;74;47;74
;SAO SEBASTIAO - BRSSO;33;32;1;53;3;5;38;7;35
;SUAPE - BRSUA;339;324;15;416;39;17;339;21;339
;SUPER TERMINAIS - ;10;9;1;15;2;2;10;1;10
;TBO - TERMINAL ;16;16;0;16;0;0;16;0;16
;TEDUT - TERMINAL ;37;31;6;41;3;2;32;4;33
;TEMAN - PETROBRAS - ;37;34;3;68;5;20;35;8;35
;TEPORTI - TERMINAL ;5;5;0;7;1;0;5;1;6
;TERFRON - TERMINAL ;0;0;0;27;1;17;0;9;0
;TERGASUL - CANOAS - RS ;3;3;0;4;0;0;3;1;3
;TERMINAL AQUAVIARIO ;1;1;0;3;1;1;1;0;1
;TERMINAL AQUAVIÁRIO ;16;16;0;19;2;0;17;0;17
;TERMINAL AQUAVIÁRIO ;17;17;0;19;2;0;17;0;17
;TERMINAL AQUAVIÁRIO ;17;17;0;45;4;20;17;4;17
;TERMINAL AQUAVIÁRIO ;0;0;0;0;0;0;0;0;0
;TERMINAL BELMONTE - BA ;39;39;0;42;1;2;39;0;39
;TERMINAL DE BENTO ;0;0;0;21;2;6;0;13;0
;TERMINAL DE CARAVELAS ;0;0;0;0;0;0;0;0;0
;TERMINAL DE GRÃOS ;33;31;2;39;3;1;32;3;32
;TERMINAL DE MINERIO ;127;115;12;153;12;0;121;20;121
;TERMINAL FLUVIAL ;0;0;0;0;0;0;0;0;0
;TERMINAL FLUVIAL DE ;29;29;0;29;0;0;29;0;29
;TERMINAL FLUVIAL MRN ;56;54;2;59;1;1;55;2;55
;TERMINAL FLUVIAL RIO ;8;8;0;8;0;0;8;0;8
;TERMINAL PETROBRÁS - ;268;259;9;534;45;112;260;117;260
;TERMINAL PORTUÁRIO ;8;8;0;9;0;0;9;0;9
;TERMINAL TRANSPETRO - ;129;97;32;162;8;16;98;40;97
;TERMINAL TRANSPETRO - ;183;179;4;236;10;25;185;16;185
;TESC - TERMINAL SANTA ;5;5;0;82;6;65;5;6;5
;TFB - EQUADOR LOG - ;19;17;2;33;5;3;19;6;18
;THYSSENKRUPP TERNIUM ;34;29;5;41;3;1;31;6;31
;TLP - TERMINAL ;0;0;0;0;0;0;0;0;0
;TMIB - TERMINAL INACIO ;12;11;1;17;1;2;12;2;12
;TPS - TERMINAL ;71;66;5;73;3;0;68;2;68
;TRBA - TERMINAL DE ;0;0;0;4;2;1;0;1;0
;TRIGOLAR - OCRIM - ;1;1;0;2;0;0;1;1;1
;TUBARÃO - ES - CVRD - ;84;82;2;149;14;6;82;47;83
;TUP SUPERGASBRAS - ;0;0;0;0;0;0;0;0;0
;VILA DO CONDE - BRVDC;203;191;12;342;63;20;196;63;198
;VITÓRIA - BRVIX;83;83;0;302;13;62;85;142;85
;YARA CANOAS - BRRS028;0;0;0;0;0;0;0;0;0
;YARA PORTO ALEGRE - ;12;12;0;18;2;4;12;0;12
