Período: 01/08/2023 à 31/10/2023;Porto;DUVs Atracados;DUVs Atracados - Desatracados;DUVs Atracados - Não Desatracados;DUVs com Previsão de Desatracação;DUVs com Previsão de Desatracação - Cancelados;DUVs com Previsão de Desatracação - Não Solicitou Atracação;DUVs com Previsão de Desatracação - Desatracados;DUVs com Previsão de Desatracação - Não Desatracados(*);DUVs Desatracados no Período
;ALUMAR - SÃO LUIZ - MA - ;81;78;3;87;2;3;80;2;80
;ANGRA DOS REIS - BRADR;10;7;3;51;9;7;7;28;7
;ANTONINA - BRANT;22;20;2;23;0;1;20;2;20
;ARATU - BRARB;114;113;1;135;14;3;117;1;117
;AREIA BRANCA (TERMISA) ;275;275;0;296;13;7;276;0;276
;ATEM´S - MANAUS - AM - ;5;5;0;9;1;1;7;0;6
;ATEM´S - PORTO VELHO-;0;0;0;0;0;0;0;0;0
;ATRACADOURO BARRA ;0;0;0;0;0;0;0;0;0
;BARRA DO RIACHO - ;0;0;0;3;1;0;0;2;0
;BARRA DO RIO TERMINAL ;11;11;0;14;1;0;12;1;12
;BELEM - BRBEL;176;160;16;205;10;11;162;22;162
;BERTOLINI SANTARÉM - ;0;0;0;0;0;0;0;0;0
;BIANCHINI - CANOAS - RS ;58;57;1;60;3;0;56;1;56
;BRASFELS - ANGRA DOS ;10;7;3;12;2;0;7;3;7
;BRASKARNE - ITAJAÍ - SC - ;5;5;0;5;0;0;5;0;5
;BRASKEM - MACEIO - AL - ;0;0;0;17;0;16;0;1;0
;CABEDELO - BRCDO;28;28;0;32;0;0;31;1;31
;CELSE TERMINAL DE ;0;0;0;2;2;0;0;0;0
;CHIBATÃO NAVEGAÇÃO E ;41;41;0;68;9;16;42;1;42
;CIA FLORESTAL MONTE ;0;0;0;0;0;0;0;0;0
;CIA PORTUARIA VILA ;40;38;2;50;3;6;38;3;38
;CIA. REFINADORA DA ;0;0;0;0;0;0;0;0;0
;CIMENTO VENCEMOS DO ;3;3;0;3;0;0;3;0;3
;CIMPOR - BRMRS001;0;0;0;0;0;0;0;0;0
;CMPC - GUAIBA - RS - ;98;98;0;109;3;3;102;1;100
;COPELMI - BRCQD002;0;0;0;0;0;0;0;0;0
;COTEGIPE - SALVADOR - ;30;29;1;34;2;0;30;2;31
;DOW BRASIL - ARATU - BA ;23;23;0;23;0;0;23;0;23
;ESTALEIRO ENSEADA ;5;5;0;5;0;0;5;0;5
;ESTALEIRO JURONG - ;7;5;2;7;2;0;5;0;5
;ETC BERTOLINI SANTANA - ;0;0;0;0;0;0;0;0;0
;FORD MOTOR - ARATU - ;0;0;0;0;0;0;0;0;0
;FORNO (ARRAIAL DO ;0;0;0;0;0;0;0;0;0
;FORTALEZA (MUCURIPE) - ;174;159;15;208;5;10;167;26;166
;FUNDEADOURO - ;0;0;0;13;2;8;0;3;0
;GERDAU AÇOS LONGOS - ;1;1;0;13;1;2;1;9;1
;HERMASA DA AMAZÔNIA - ;30;26;4;35;0;0;30;5;28
;HIDROVIAS DO BRASIL - ;0;0;0;0;0;0;0;0;0
;HIDROVIAS DO BRASIL - ;4;4;0;45;5;16;4;20;4
;IBEPAR MANAUS - ;0;0;0;0;0;0;0;0;0
;ILHA GUAÍBA - ITAGUAÍ - ;42;42;0;73;11;8;43;11;43
