Período: 01/02/2023 à 30/04/2023;Porto;DUVs Atracados;DUVs Atracados - Desatracados;DUVs Atracados - Não Desatracados;DUVs com Previsão de Desatracação;DUVs com Previsão de Desatracação - Cancelados;DUVs com Previsão de Desatracação - Não Solicitou Atracação;DUVs com Previsão de Desatracação - Desatracados;DUVs com Previsão de Desatracação - Não Desatracados(*);DUVs Desatracados no Período
;ALUMAR - SÃO LUIZ - MA - ;66;63;3;67;1;1;62;3;63
;ANGRA DOS REIS - BRADR;18;10;8;36;2;11;10;13;10
;ANTONINA - BRANT;20;20;0;23;2;0;20;1;20
;ARATU - BRARB;117;115;2;141;10;3;117;11;119
;AREIA BRANCA (TERMISA) ;4;4;0;342;14;314;4;10;4
;ATEM´S - MANAUS - AM - ;7;7;0;14;1;2;8;3;8
;ATEM´S - PORTO VELHO-;0;0;0;0;0;0;0;0;0
;ATRACADOURO BARRA ;5;5;0;5;0;0;5;0;5
;BARRA DO RIACHO - ;0;0;0;5;0;0;0;5;0
;BARRA DO RIO TERMINAL ;10;10;0;12;1;1;10;0;10
;BELEM - BRBEL;205;176;29;322;48;42;181;51;179
;BERTOLINI SANTARÉM - ;0;0;0;0;0;0;0;0;0
;BIANCHINI - CANOAS - RS ;60;34;26;68;7;0;36;25;36
;BRASFELS - ANGRA DOS ;2;2;0;3;0;0;3;0;3
;BRASKARNE - ITAJAÍ - SC - ;6;6;0;7;1;0;6;0;6
;BRASKEM - MACEIO - AL - ;23;23;0;26;0;2;23;1;23
;CABEDELO - BRCDO;26;25;1;28;0;2;25;1;25
;CELSE TERMINAL DE ;0;0;0;0;0;0;0;0;0
;CHIBATÃO NAVEGAÇÃO E ;42;42;0;51;8;1;42;0;42
;CIA FLORESTAL MONTE ;0;0;0;0;0;0;0;0;0
;CIA PORTUARIA VILA ;23;23;0;27;3;0;24;0;24
;CIA. REFINADORA DA ;0;0;0;0;0;0;0;0;0
;CIMENTO VENCEMOS DO ;1;1;0;6;5;0;1;0;1
;CIMPOR - BRMRS001;0;0;0;0;0;0;0;0;0
;CMPC - GUAIBA - RS - ;118;116;2;123;4;1;116;2;117
;COPELMI - BRCQD002;0;0;0;0;0;0;0;0;0
;COTEGIPE - SALVADOR - ;28;27;1;28;0;0;28;0;28
;DOW BRASIL - ARATU - BA ;23;23;0;24;1;0;23;0;23
;ENSEADA INDÚSTRIA ;5;4;1;6;1;0;5;0;5
;ESTALEIRO JURONG - ;18;10;8;36;0;8;11;17;11
;ETC BERTOLINI SANTANA - ;0;0;0;0;0;0;0;0;0
;FERROPORT - PORTO DO ;115;109;6;127;5;4;112;6;111
;FORD MOTOR - ARATU - ;0;0;0;0;0;0;0;0;0
;FORNO (ARRAIAL DO ;0;0;0;0;0;0;0;0;0
