Período: 01/08/2025 à 31/10/2025;Porto;DUVs Atracados;DUVs Atracados - Desatracados;DUVs Atracados - Não Desatracados;DUVs com Previsão de Desatracação;DUVs com Previsão de Desatracação - Cancelados;DUVs com Previsão de Desatracação - Não Solicitou Atracação;DUVs com Previsão de Desatracação - Desatracados;DUVs com Previsão de Desatracação - Não Desatracados(*);DUVs Desatracados no Período
;TERMINAL AQUAVIARIO ;4;4;0;4;0;0;4;0;4
;TERMINAL AQUAVIARIO ;0;0;0;0;0;0;0;0;0
;TERMINAL AQUAVIÁRIO ;73;72;1;95;8;2;75;10;75
;TERMINAL AQUAVIARIO ;15;14;1;34;2;17;14;1;14
;TERMINAL AQUAVIÁRIO ;18;13;5;19;0;1;13;5;13
;TERMINAL AQUAVIÁRIO ;0;0;0;36;10;3;0;23;0
;TERMINAL AQUAVIÁRIO ;0;0;0;0;0;0;0;0;0
;TERMINAL BELMONTE - BA ;30;30;0;38;1;7;30;0;30
;TERMINAL BRASFELS - ;4;4;0;6;0;0;6;0;6
;TERMINAL DA BABITONGA ;0;0;0;0;0;0;0;0;0
;TERMINAL DA BRASKARNE ;5;5;0;7;1;0;6;0;6
;TERMINAL DA CARGILL - ;0;0;0;0;0;0;0;0;0
;TERMINAL DA DOW ;18;18;0;20;1;0;19;0;19
;TERMINAL DA DOW ;0;0;0;0;0;0;0;0;0
;TERMINAL DA FOGÁS - ;0;0;0;0;0;0;0;0;0
;TERMINAL DA PETROBRÁS ;37;34;3;43;2;4;33;4;33
;TERMINAL DE CARAVELAS ;0;0;0;0;0;0;0;0;0
;TERMINAL DE CARVÃO DA ;0;0;0;43;2;2;0;39;0
;TERMINAL DE EXPEDIÇÃO ;0;0;0;0;0;0;0;0;0
;TERMINAL DE GRÃOS ;4;3;1;11;0;3;4;4;4
;TERMINAL DE MINERIO ;136;107;29;152;8;0;111;33;111
;TERMINAL FLUVIAL ;1;0;1;1;0;0;0;1;0
;TERMINAL FLUVIAL DE ;38;38;0;38;0;0;38;0;38
;TERMINAL FLUVIAL DE ;54;23;31;84;12;2;24;46;23
;TERMINAL FLUVIAL ;3;3;0;5;1;0;4;0;4
;TERMINAL FLUVIAL ;0;0;0;0;0;0;0;0;0
;TERMINAL FLUVIAL MRN ;52;52;0;55;2;0;53;0;52
;TERMINAL FLUVIAL RIO ;2;2;0;2;0;0;2;0;2
;TERMINAL HERMASA DA ;33;31;2;34;1;0;33;0;32
;TERMINAL INDUSTRIAL ;0;0;0;0;0;0;0;0;0
;TERMINAL MBR ILHA ;29;29;0;55;5;10;30;10;29
;TERMINAL MERLIM - ;29;29;0;48;11;6;30;1;30
;TERMINAL PETROBRÁS - ;280;264;16;519;32;123;263;101;269
;TERMINAL PORTONAVE - ;114;114;0;151;23;12;111;5;114
;TERMINAL PORTUÁRIO ;5;5;0;84;1;48;5;30;5
;TERMINAL PORTUÁRIO ;12;12;0;12;0;0;12;0;12
;TERMINAL PORTUARIO ;0;0;0;0;0;0;0;0;0
;TERMINAL PORTUÁRIO ;0;0;0;0;0;0;0;0;0
;TERMINAL TRANSPETRO - ;107;100;7;152;19;4;106;23;106
;TERMINAL TRANSPETRO - ;164;158;6;209;6;29;157;17;160
;TERMINAL VETORIAL ;0;0;0;0;0;0;0;0;0
;TFB - EQUADOR LOG - ;13;9;4;13;0;0;10;3;10
;THYSSENKRUPP TERNIUM ;30;30;0;35;5;1;29;0;29
;TLP - TERMINAL ;0;0;0;0;0;0;0;0;0
;TMG-ITAPUA - TERMINAL ;15;14;1;16;1;0;15;0;15
;TMIB - TERMINAL INACIO ;10;10;0;10;0;0;10;0;10
;TPS - TERMINAL ;61;58;3;69;6;1;59;3;58
;TRBA - TERMINAL DE ;0;0;0;6;2;1;0;3;0
;TRIGOLAR - OCRIM - ;2;2;0;2;0;0;2;0;2
;TROCADEIRO PORTOS E ;0;0;0;0;0;0;0;0;0
;TUBARÃO - ES - CVRD - ;106;105;1;171;17;8;107;39;104
;TUP NSR - NOVA SANTA ;15;15;0;16;1;0;15;0;15
;TUP SUPERGASBRAS - ;0;0;0;0;0;0;0;0;0
;VILA DO CONDE - BRVDC;222;194;28;318;17;56;200;45;201
;VITÓRIA - BRVIX;38;36;2;352;28;93;36;195;36
;YARA CANOAS - BRRS028;0;0;0;2;1;1;0;0;0
;YARA PORTO ALEGRE - ;18;15;3;36;5;14;14;3;14
