CNPJ;Razão Social;Situação Cadastral;;;;;;;;;;;;;;;;
05.376.052/0001-80;BLUE LINE AGENCIAMENTO DE CARGAS LTDA;Ativa;;;;;;;;;;;;;;;;
35.338.791/0001-49;BLUE ROYAL LOGISTICA LTDA;Ativa;;;;;;;;;;;;;;;;
62.293.154/0001-76;BLUE SEA AG.MARITIMA,ASSES.E LOGISTICA DE TRANSP.LTDA;Ativa;;;;;;;;;;;;;;;;
10.442.384/0001-56;BLUE SEAS OPERADORA PORTUARIA LTDA;Ativa;;;;;;;;;;;;;;;;
05.035.312/0001-54;BLUE SHIPPING DO BRASIL LTDA;Ativa;;;;;;;;;;;;;;;;
08.902.275/0001-22;BLUE SKY TRANSPORTES INTERNACIONAIS LTDA;Ativa;;;;;;;;;;;;;;;;
00.350.408/0001-93;BLUE STAR AGENCIAMENTO DE CARGAS INTERNACIONAIS LTDA;Ativa;;;;;;;;;;;;;;;;
00.350.408/0002-74;BLUE STAR AGENCIAMENTO DE CARGAS INTERNACIONAIS LTDA;Ativa;;;;;;;;;;;;;;;;
47.979.111/0001-55;BLUE WATER LOGISTICS LTDA;Ativa;;;;;;;;;;;;;;;;
05.937.781/0001-69;BLUE WATER SHIPPING DO BRASIL LTDA.;Ativa;;;;;;;;;;;;;;;;
05.937.781/0002-40;BLUE WATER SHIPPING DO BRASIL LTDA.;Ativa;;;;;;;;;;;;;;;;
35.682.364/0001-83;BLUEPORT AGENCIAMENTO DE CARGAS E CONSULTORIA EM COMERCIO EXTERIOR LTDA.;Ativa;;;;;;;;;;;;;;;;
45.196.916/0001-05;BLUPEARL AGENCY LTDA;Ativa;;;;;;;;;;;;;;;;
45.196.916/0002-88;BLUPEARL AGENCY LTDA;Ativa;;;;;;;;;;;;;;;;
04.508.554/0001-55;BM PNEUS, COMERCIO E IMPORTACAO DE PRODUTOS AUTOMOTIVOS LTDA;Ativa;;;;;;;;;;;;;;;;
39.786.504/0005-48;BOA PRACA IMPORTADORA E EXPORTADORA LTDA;Ativa;;;;;;;;;;;;;;;;
46.355.806/0001-01;BOLLORE LOGISTICS BRAZIL LTDA;Ativa;;;;;;;;;;;;;;;;
46.355.806/0003-65;BOLLORE LOGISTICS BRAZIL LTDA;Ativa;;;;;;;;;;;;;;;;
46.355.806/0007-99;BOLLORE LOGISTICS BRAZIL LTDA;Ativa;;;;;;;;;;;;;;;;
46.355.806/0009-50;BOLLORE LOGISTICS BRAZIL LTDA;Ativa;;;;;;;;;;;;;;;;
46.355.806/0004-46;BOLLORE LOGISTICS BRAZIL LTDA;Ativa;;;;;;;;;;;;;;;;
46.355.806/0015-07;BOLLORE LOGISTICS BRAZIL LTDA;Ativa;;;;;;;;;;;;;;;;
23.343.032/0001-95;BOMBORDO COMEX ASSESSORIA E DESPACHOS ADUANEIROS LTDA;Ativa;;;;;;;;;;;;;;;;
09.324.647/0001-43;BON VOYAGE SHIPPING LTDA.;Ativa;;;;;;;;;;;;;;;;
14.899.501/0001-66;BORBA JUNIOR COMEX LTDA;Ativa;;;;;;;;;;;;;;;;
24.256.991/0001-36;BORDERFREE LOGISTICS AGENCIAMENTO DE TRANSPORTES INTERNACIONAIS LTDA;Ativa;;;;;;;;;;;;;;;;
10.625.454/0001-01;BORDERLINE AGENCIAMENTOS DE CARGAS LTDA;Ativa;;;;;;;;;;;;;;;;
31.448.612/0001-75;BOREALIS SERVICOS LOGISTICOS LTDA;Ativa;;;;;;;;;;;;;;;;
08.770.160/0001-21;BOSS SHIPPING LOGISTICA LTDA;Ativa;;;;;;;;;;;;;;;;
55.908.852/0001-73;BOSSA NOVA SHIPPING AGENCY LTDA;Ativa;;;;;;;;;;;;;;;;
03.850.283/0001-59;BOTMAR AGENCIAMENTO MARITIMO E COMERCIO LTDA;Ativa;;;;;;;;;;;;;;;;
52.840.797/0001-39;BR COMPANY INTERNATIONAL LOGISTICS LTDA;Ativa;;;;;;;;;;;;;;;;
05.041.601/0001-66;BR LINKS - INTERNATIONAL FREIGHT FORWARDER LTDA;Ativa;;;;;;;;;;;;;;;;
04.785.235/0001-97;BR LOGISTICS - TRANSITARIO DE CARGAS INTERNACIONAIS LTDA.;Ativa;;;;;;;;;;;;;;;;
20.768.331/0001-83;BR MOVING LOGISTICA INTERNACIONAL LTDA;Ativa;;;;;;;;;;;;;;;;
27.178.427/0001-30;BR NEXT LOGISTICS E COMISSARIA DE DESPACHOS LTDA;Ativa;;;;;;;;;;;;;;;;
10.810.411/0001-04;BR PARTNERS LOGISTICA INTERNACIONAL LTDA;Ativa;;;;;;;;;;;;;;;;
24.528.091/0001-09;BR SHIPPING LOGISTICA INTERNACIONAL LTDA;Ativa;;;;;;;;;;;;;;;;
07.722.528/0001-13;BR SHIPPING SERVICOS MARITIMOS LTDA;Ativa;;;;;;;;;;;;;;;;
09.081.527/0001-62;BR SHIPPING TRANSITARIO DE CARGAS INTERNACIONAIS LTDA.;Ativa;;;;;;;;;;;;;;;;
17.942.718/0001-08;BR-X CARGO LOGISTICA INTERNACIONAL LTDA;Ativa;;;;;;;;;;;;;;;;
04.636.669/0001-25;BRABO BIOENERGETICA LTDA;Ativa;;;;;;;;;;;;;;;;
37.470.241/0001-04;BRACHMANN WORLDWIDE LOGISTICS LTDA;Ativa;;;;;;;;;;;;;;;;
14.914.749/0001-59;BRAID LOGISTICS DO BRASIL LTDA;Ativa;;;;;;;;;;;;;;;;
21.400.418/0001-66;BRAID LOGISTICS LATIN AMERICA LTDA.;Ativa;;;;;;;;;;;;;;;;
07.864.634/0001-31;BRAM OFFSHORE TRANSPORTES MARITIMOS LTDA;Ativa;;;;;;;;;;;;;;;;
11.826.476/0001-00;BRANDAO FILHOS FORTSHIP AGENCIA MARITIMA LTDA;Ativa;;;;;;;;;;;;;;;;
13.597.057/0001-61;BRASA GLOBAL LOGISTICA LTDA;Ativa;;;;;;;;;;;;;;;;
08.408.419/0001-99;BRASA-BRASIL ASSISTENCIA E SERVICOS LOGISTICOS LTDA;Ativa;;;;;;;;;;;;;;;;
27.619.691/0001-62;BRASCON CIA BRASILEIRA DE TRANSPORTES E CONTEINERIZACAO;Ativa;;;;;;;;;;;;;;;;
12.601.552/0001-34;BRASFREIGHT LOGISTICA E SERVICOS LTDA;Ativa;;;;;;;;;;;;;;;;
27.448.685/0001-90;BRASGLOBAL LOGISTICA E TRANSPORTES INTERNACIONAIS LTDA;Ativa;;;;;;;;;;;;;;;;
05.667.588/0001-55;BRASICEF LOGISTICA DO BRASIL LTDA;Ativa;;;;;;;;;;;;;;;;
84.489.996/0001-30;BRASIL & MOVIMENTO S/A;Ativa;;;;;;;;;;;;;;;;
00.017.975/0001-22;BRASIL CARGO SERVICE LOGISTICA LTDA;Ativa;;;;;;;;;;;;;;;;
04.981.097/0001-11;BRASIL EXPRESS ASSESSORIA EM COMERCIO EXTERIOR LTDA;Ativa;;;;;;;;;;;;;;;;
71.637.367/0001-69;BRASIL EXPRESS TRANSPORTES INTERNACIONAIS LTDA;Ativa;;;;;;;;;;;;;;;;
07.473.953/0001-16;BRASIL INTERNATIONAL CARGO LTDA;Ativa;;;;;;;;;;;;;;;;
03.705.549/0001-70;BRASIL LINKS TRANSITARIO DE CARGAS INTERNACIONAIS LTDA;Ativa;;;;;;;;;;;;;;;;
54.877.477/0001-89;BRASIL MARITIMA AGENCIAMENTOS E TRANSPORTES LTDA;Ativa;;;;;;;;;;;;;;;;
03.006.486/0001-63;BRASIL MULTIVIAS LOGISTICA E COMERCIO EXTERIOR S/C LTDA;Ativa;;;;;;;;;;;;;;;;
09.490.831/0001-63;BRASIL SUL AGENCIA MARITIMA LTDA;Ativa;;;;;;;;;;;;;;;;
04.887.625/0001-78;BRASIL TERMINAL PORTUARIO S.A.;Ativa;;;;;;;;;;;;;;;;
18.420.016/0001-19;BRASIL TRANSPORTES FLUVIAISLTDA;Ativa;;;;;;;;;;;;;;;;
49.592.447/0001-96;BRASILIENSE COMISSARIA DE DESPACHOS LTDA;Ativa;;;;;;;;;;;;;;;;
49.592.447/0007-81;BRASILIENSE COMISSARIA DE DESPACHOS LTDA;Ativa;;;;;;;;;;;;;;;;
29.841.244/0002-60;BRASIMAR SERVICOS MARITIMOS LTDA;Ativa;;;;;;;;;;;;;;;;
08.513.898/0002-94;BRASINAV AGENCIAMENTOS LTDA.;Ativa;;;;;;;;;;;;;;;;
08.513.898/0001-03;BRASINAV AGENCIAMENTOS LTDA.;Ativa;;;;;;;;;;;;;;;;
08.513.898/0003-75;BRASINAV AGENCIAMENTOS LTDA.;Ativa;;;;;;;;;;;;;;;;
04.198.466/0001-02;BRASLINE CARGAS INTERNACIONAIS LTDA;Ativa;;;;;;;;;;;;;;;;
03.035.518/0001-59;BRASLOG-BRASIL LOGISTICA E COMERCIO EXTERIOR LTDA;Ativa;;;;;;;;;;;;;;;;
84.517.986/0001-61;BRASMAR REPRESENTACOES LTDA;Ativa;;;;;;;;;;;;;;;;
01.491.671/0001-65;BRASMAR-COMERCIO INTERNACIONAL LTDA;Ativa;;;;;;;;;;;;;;;;
05.088.743/0001-89;BRASMARINE SERVICOS PORTUARIOS LTDA;Ativa;;;;;;;;;;;;;;;;
05.088.743/0002-60;BRASMARINE SERVICOS PORTUARIOS LTDA;Ativa;;;;;;;;;;;;;;;;
75.406.561/0001-94;BRASMARINE TRANSPORTES INTERNACIONAIS LTDA;Ativa;;;;;;;;;;;;;;;;
53.712.153/0001-28;BRASPEX LOGISTICA LTDA;Ativa;;;;;;;;;;;;;;;;
51.556.330/0002-80;BRASPORT ASSESSORIA EM COMERCIO EXTERIOR LTDA;Ativa;;;;;;;;;;;;;;;;
51.556.330/0001-07;BRASPORT ASSESSORIA EM COMERCIO EXTERIOR LTDA;Ativa;;;;;;;;;;;;;;;;
22.084.878/0001-95;BRASPORTO LOGISTICA E  ASSESSORIA ADUANEIRA LTDA;Ativa;;;;;;;;;;;;;;;;
03.263.244/0001-55;BRASPORTSUL SERVICOS ADUANEIROS LTDA;Ativa;;;;;;;;;;;;;;;;
16.919.707/0001-36;BRASRICMAR JS PLANEJAMENTO EM LOGISTICA - EIRELI;Ativa;;;;;;;;;;;;;;;;
06.133.886/0001-28;BRASROUTE ASSESSORIA ADUANEIRA E LOGISTICA LTDA;Ativa;;;;;;;;;;;;;;;;
10.208.677/0001-73;BRASTIL AGENTE DE CARGAS LTDA.;Ativa;;;;;;;;;;;;;;;;
06.949.354/0001-63;BRASVIX CONSULTORIA EM LOGISTICA E COMERCIO EXTERIOR LTDA;Ativa;;;;;;;;;;;;;;;;
08.777.808/0001-91;BRAVA ASSESSORIA E LOGISTICA LTDA;Ativa;;;;;;;;;;;;;;;;
41.746.670/0001-39;BRAVE SHIP AGENCIAMENTO DE CARGAS LTDA;Ativa;;;;;;;;;;;;;;;;
38.372.921/0001-58;BRAVER ENGENHARIA LOGISTICA INTERNACIONAL LTDA;Ativa;;;;;;;;;;;;;;;;
18.492.040/0001-63;BRAVO AGENCIAMENTOS MARITIMOS LTDA;Ativa;;;;;;;;;;;;;;;;
32.552.406/0001-73;BRAVO CARGO TRANSPORTE INTERNACIONAL LTDA;Ativa;;;;;;;;;;;;;;;;
16.955.897/0001-47;BRAZCARGO AGENCIA MARITIMA LTDA;Ativa;;;;;;;;;;;;;;;;
51.884.845/0001-28;BRAZCARGO AGENCY LTDA;Ativa;;;;;;;;;;;;;;;;
39.805.908/0001-08;BRAZCARGO OPERADORA PORTUARIA LTDA;Ativa;;;;;;;;;;;;;;;;
03.451.799/0001-20;BRAZIL - USA INTERNATIONAL SERVICE LTDA;Ativa;;;;;;;;;;;;;;;;
52.471.051/0001-03;BRAZIL AIR & SEA SHIPMENT LTDA;Ativa;;;;;;;;;;;;;;;;
02.370.973/0001-48;BRAZIL ALL WAYS CONSULTORIA INTERNACIONAL LTDA;Ativa;;;;;;;;;;;;;;;;
03.306.951/0001-81;BRAZIL CARGO LTDA;Ativa;;;;;;;;;;;;;;;;
12.296.897/0001-21;BRAZIL CARGO SERVICES AGENCIAMENTO MARITIMO LTDA;Ativa;;;;;;;;;;;;;;;;
13.624.021/0001-20;BRAZIL EAGLE LOGISTICS AGENCIAMENTO DE CARGAS LTDA;Ativa;;;;;;;;;;;;;;;;
27.275.631/0001-70;BRAZIL FOREIGN TRADE LTDA;Ativa;;;;;;;;;;;;;;;;
44.728.565/0001-65;BRAZIL GLOBAL LOGISTICS IMPORTACAO E EXPORTACAO LTDA;Ativa;;;;;;;;;;;;;;;;
11.079.429/0001-32;BRAZIL LOG AGENCIAMENTO E LOGISTICA DE CARGAS NACIONAIS E INTERNACIONAIS LTDA;Ativa;;;;;;;;;;;;;;;;
09.450.307/0001-69;BRAZIL MERCANTIL SOUTH AGENCY LTDA;Ativa;;;;;;;;;;;;;;;;
19.988.702/0001-53;BRAZIL PRO LOGISTIC LTDA;Ativa;;;;;;;;;;;;;;;;
16.899.182/0001-14;BRAZIL TRANSPORT LOGISTICS LTDA;Ativa;;;;;;;;;;;;;;;;
07.010.092/0001-30;BRAZIL WIND LOGISTICS AGENCIAMENTO INTERNACIONAL DE CARGAS LTDA.;Ativa;;;;;;;;;;;;;;;;
07.010.092/0003-00;BRAZIL WIND LOGISTICS AGENCIAMENTO INTERNACIONAL DE CARGAS LTDA.;Ativa;;;;;;;;;;;;;;;;
09.674.868/0001-41;BRAZIL WORLDWIDE LOGISTICS ASSESSORIA E LOGISTICA INTERNACIONAL LTDA;Ativa;;;;;;;;;;;;;;;;
20.811.035/0001-18;BRAZILIAN CUSTOMS BROKERAGE LTDA;Ativa;;;;;;;;;;;;;;;;
11.730.342/0001-83;BRAZILIAN PORT AGENTS AGENCIAMENTOS MARITIMOS LTDA;Ativa;;;;;;;;;;;;;;;;
11.730.342/0002-64;BRAZILIAN PORT AGENTS AGENCIAMENTOS MARITIMOS LTDA;Ativa;;;;;;;;;;;;;;;;
11.730.342/0003-45;BRAZILIAN PORT AGENTS AGENCIAMENTOS MARITIMOS LTDA;Ativa;;;;;;;;;;;;;;;;
11.730.342/0004-26;BRAZILIAN PORT AGENTS AGENCIAMENTOS MARITIMOS LTDA;Ativa;;;;;;;;;;;;;;;;
11.730.342/0005-07;BRAZILIAN PORT AGENTS AGENCIAMENTOS MARITIMOS LTDA;Ativa;;;;;;;;;;;;;;;;
49.002.109/0001-57;BRAZILIAN PORT AGENTS NORDESTE LTDA;Ativa;;;;;;;;;;;;;;;;
08.178.217/0001-06;BRAZILPEGASUS AGENCIA MARITIMA LTDA;Ativa;;;;;;;;;;;;;;;;
10.762.611/0001-20;BRAZOFFSHORE - MARITIMA LTDA;Ativa;;;;;;;;;;;;;;;;
40.312.933/0001-39;BREMER LLOYD BRAZIL LOGISTICS LTDA.;Ativa;;;;;;;;;;;;;;;;
02.605.233/0001-43;BRIDGE DESPACHOS ADUANEIROS LTDA;Ativa;;;;;;;;;;;;;;;;
50.011.797/0001-09;BRIDGE SHIP AGENCY LTDA;Ativa;;;;;;;;;;;;;;;;
07.158.318/0001-44;BRIGADEIRA FEITO A MAO - ARTE EM ACUCAR LTDA;Ativa;;;;;;;;;;;;;;;;
57.008.138/0001-54;BRINDES TIP LTDA;Ativa;;;;;;;;;;;;;;;;
94.001.641/0001-04;BRINGER DO BRASIL AGENCIAMENTO DE CARGAS NACIONAIS E INTERNACIONAIS LTDA;Ativa;;;;;;;;;;;;;;;;
83.853.788/0001-06;BRISA SHIPPING AGENCIA DE NAVEGACAO LTDA;Ativa;;;;;;;;;;;;;;;;
03.427.238/0001-96;BRISAMAR AGENCIAMENTO MARITIMO LTDA;Ativa;;;;;;;;;;;;;;;;
01.367.425/0001-04;BRISAMAR AGENCIAMENTOS MARITMOS LTDA;Ativa;;;;;;;;;;;;;;;;
18.252.555/0001-96;BRISK COMERCIO EXTERIOR E TRANSPORTES LTDA;Ativa;;;;;;;;;;;;;;;;
31.247.532/0001-51;BRIX CONTABILIDADE E DESPACHOS ADUANEIROS LTDA;Ativa;;;;;;;;;;;;;;;;
03.566.125/0001-71;BRL WORLDWIDE LOGISTICA LTDA;Ativa;;;;;;;;;;;;;;;;
05.623.735/0001-95;BROK LOGISTICA LTDA;Ativa;;;;;;;;;;;;;;;;
19.201.159/0001-00;BROKER COMEX ASSESSORIA EM COMERCIO EXTERIOR LTDA;Ativa;;;;;;;;;;;;;;;;
07.883.635/0001-23;BRONSLOG - COMERCIO EXTERIOR LTDA;Ativa;;;;;;;;;;;;;;;;
18.354.383/0001-61;BRP LOGISTICA LTDA;Ativa;;;;;;;;;;;;;;;;
00.756.797/0001-51;BRUNIN EXPRESS TRANSPORTES LTDA;Ativa;;;;;;;;;;;;;;;;
08.716.732/0001-94;BRUNO DREHER RIGON;Ativa;;;;;;;;;;;;;;;;
09.505.878/0001-53;BRUTMAN REPRESENTACOES LTDA;Ativa;;;;;;;;;;;;;;;;
52.080.836/0001-47;BRZ LOGISTICA LTDA;Ativa;;;;;;;;;;;;;;;;
13.328.327/0001-39;BRZ TRANSPORTES INTERNACIONAIS E LOGISTICA LTDA.;Ativa;;;;;;;;;;;;;;;;
33.672.223/0001-54;BS CARGO DO BRASIL SERVICOS LTDA;Ativa;;;;;;;;;;;;;;;;
24.968.696/0001-02;BS CARGO LOGISTICS DO BRASIL LTDA;Ativa;;;;;;;;;;;;;;;;
51.216.163/0001-47;BSI FREIGHT BRASIL LTDA;Ativa;;;;;;;;;;;;;;;;
61.583.975/0001-84;BSO LOGISTICA INTERNACIONAL LTDA.;Ativa;;;;;;;;;;;;;;;;
41.595.769/0001-87;BSP ASSESSORIA LTDA;Ativa;;;;;;;;;;;;;;;;
02.348.523/0001-59;BT DO BRASIL LTDA;Ativa;;;;;;;;;;;;;;;;
04.854.797/0001-45;BTI BRASIL LOGISTICA INTERNACIONAL LTDA;Ativa;;;;;;;;;;;;;;;;
33.154.675/0001-44;BUARQUE SERVICOS ADMINISTRATIVOS LTDA;Ativa;;;;;;;;;;;;;;;;
08.606.415/0001-15;BUDSON SERVICOS DE COMERCIO EXTERIOR LTDA;Ativa;;;;;;;;;;;;;;;;
07.123.583/0001-97;BUENAVISTA LOGISTICA LTDA;Ativa;;;;;;;;;;;;;;;;
05.907.719/0001-24;BUERI COMISSARIA DE DESPACHOS ADUANEIROS & ASSESSORIA EM COMERCIO EXTERIOR LTDA;Ativa;;;;;;;;;;;;;;;;
48.962.481/0001-42;BULK WORLDWIDE LIQUIDOS DO BRASIL S.A;Ativa;;;;;;;;;;;;;;;;
12.043.608/0001-82;BULKBRAZ MARITIMA LTDA;Ativa;;;;;;;;;;;;;;;;
03.487.495/0001-13;BULKHAUL BRASIL LTDA.;Ativa;;;;;;;;;;;;;;;;
41.113.266/0001-28;BULLCOM BRASIL - TRANSPORTES LTDA;Ativa;;;;;;;;;;;;;;;;
05.560.225/0001-16;BURRA LEITEIRA TRANSPORTE MARITIMO LTDA;Ativa;;;;;;;;;;;;;;;;
09.395.918/0001-51;BUSINESS TRADE LOGISTICA ADUANEIRA LTDA;Ativa;;;;;;;;;;;;;;;;
46.574.171/0001-25;BVB CARGO SHIPPING BRASIL LTDA;Ativa;;;;;;;;;;;;;;;;
04.361.599/0001-40;BVT CARGO- LOGISTICA E DESEMBARACO ADUANEIRO S/S LTDA;Ativa;;;;;;;;;;;;;;;;
47.300.789/0001-60;BWA AGENCIAMENTO INTERNACIONAL DE CARGAS LTDA;Ativa;;;;;;;;;;;;;;;;
28.800.880/0001-08;BWL SERVICOS DE GESTAO E LOGISTICA SA;Ativa;;;;;;;;;;;;;;;;
17.165.658/0001-56;BWL SHIPPING E LOGISTICA LTDA;Ativa;;;;;;;;;;;;;;;;
20.975.545/0001-20;BWR SERVICOS AUXILIARES E SECRETARIADO NA IMPORTACAO E EXPORTACAO LTDA;Ativa;;;;;;;;;;;;;;;;
24.693.006/0001-50;C & E - SERVICOS ADMINISTRATIVOS DE LOGISTICA LTDA.;Ativa;;;;;;;;;;;;;;;;
03.244.368/0001-93;C 4 DESPACHANTES ASSOCIADOS LTDA;Ativa;;;;;;;;;;;;;;;;
05.125.602/0001-99;C P CARGO LOGISTICS LTDA;Ativa;;;;;;;;;;;;;;;;
05.864.911/0001-80;C&J - ASSESSORIA EM COMERCIO EXTERIOR LTDA;Ativa;;;;;;;;;;;;;;;;
21.995.590/0001-00;C-FREIGHT AGENCIAMENTOS INTERNACIONAIS LTDA;Ativa;;;;;;;;;;;;;;;;
08.981.486/0001-06;C. F. LOGISTIC SERVICE LTDA.;Ativa;;;;;;;;;;;;;;;;
24.892.299/0001-02;C. J. C. DE LIMA SERVICOS MARITIMOS;Ativa;;;;;;;;;;;;;;;;
05.012.863/0001-00;C. L. EXPRESS TRANSPORTE E AGENCIAMENTO LTDA;Ativa;;;;;;;;;;;;;;;;
00.027.096/0003-43;C.A.F. TRANSPORTES INTERNACIONAIS EIRELI;Ativa;;;;;;;;;;;;;;;;
00.027.096/0001-81;C.A.F. TRANSPORTES INTERNACIONAIS EIRELI;Ativa;;;;;;;;;;;;;;;;
00.027.096/0002-62;C.A.F. TRANSPORTES INTERNACIONAIS EIRELI;Ativa;;;;;;;;;;;;;;;;
00.027.096/0006-96;C.A.F. TRANSPORTES INTERNACIONAIS EIRELI;Ativa;;;;;;;;;;;;;;;;
00.027.096/0008-58;C.A.F. TRANSPORTES INTERNACIONAIS EIRELI;Ativa;;;;;;;;;;;;;;;;
05.607.664/0001-37;C.C SALVADOR TRANSPORTES NACIONAIS E INTERNACIONAIS LTDA;Ativa;;;;;;;;;;;;;;;;
02.426.291/0001-00;C.H. ROBINSON WORLDWIDE LOGISTICA DO BRASIL LTDA.;Ativa;;;;;;;;;;;;;;;;
29.185.170/0001-70;C.H.P.C VASCONCELOS - HOSPEDARIA;Ativa;;;;;;;;;;;;;;;;
04.851.732/0001-46;C.J. ASSESSORIA ADUANEIRA LTDA;Ativa;;;;;;;;;;;;;;;;
13.797.426/0001-60;C.J.L. ASSESSORIA COMERCIAL LTDA;Ativa;;;;;;;;;;;;;;;;
09.413.498/0001-99;C.P. DO AMARAL;Ativa;;;;;;;;;;;;;;;;
59.921.254/0001-95;C.STEINWEG (BRASIL) LTDA;Ativa;;;;;;;;;;;;;;;;
19.483.729/0001-94;CAB CORPORATION LTDA;Ativa;;;;;;;;;;;;;;;;
13.856.075/0002-00;CABOTO AGENCIAMENTO DE SERVICOS E NEGOCIOS LTDA;Ativa;;;;;;;;;;;;;;;;
83.740.951/0001-24;CACER COMISSARIA ASSESSORIA DE COM EXTERIOR E REPR LTDA;Ativa;;;;;;;;;;;;;;;;
22.443.418/0001-06;CACTUS COMEX E LOGISTICA INTERNACIONAL  LTDA;Ativa;;;;;;;;;;;;;;;;
60.329.479/0001-36;CAESAR SHIPPING BRAZIL LTDA;Ativa;;;;;;;;;;;;;;;;
31.773.682/0001-07;CAFECO ARMAZENS GERAIS LTDA;Ativa;;;;;;;;;;;;;;;;
00.730.888/0002-07;CAIAMBE NAVEGACAO E COMERCIO LTDA;Ativa;;;;;;;;;;;;;;;;
01.939.954/0001-27;CAIMEX-COMISSARIA E ASSESSORIA DE IMPORTACAO E EXPORTACAO LTDA;Ativa;;;;;;;;;;;;;;;;
09.350.944/0001-63;CAIS DO ATLANTICO INDUSTRIA E COMERCIO DE PESCADOS LTDA;Ativa;;;;;;;;;;;;;;;;
07.014.436/0001-89;CALLAWAY LOGISTICA INTERNACIONAL LTDA;Ativa;;;;;;;;;;;;;;;;
05.312.986/0001-59;CAMARGO & XAVIER LTDA;Ativa;;;;;;;;;;;;;;;;
04.233.542/0001-65;CAMARGOIL COMERCIO E SERVICOS LTDA;Ativa;;;;;;;;;;;;;;;;
00.649.990/0001-93;CAMORIM SERVICOS MARITIMOS SA;Ativa;;;;;;;;;;;;;;;;
00.649.990/0007-89;CAMORIM SERVICOS MARITIMOS SA;Ativa;;;;;;;;;;;;;;;;
02.481.860/0001-10;CAMPANARIO COMERCIO EXTERIOR LTDA;Ativa;;;;;;;;;;;;;;;;
13.206.827/0001-06;CAMPANARIO LOGISTICA INTEGRADA LTDA;Ativa;;;;;;;;;;;;;;;;
96.417.233/0001-63;CAMPINAS MODAL ASSESSORIA ADUANEIRA LTDA;Ativa;;;;;;;;;;;;;;;;
00.496.671/0001-95;CAMPOS AMORA ASSESSORIA ADUANEIRA LTDA;Ativa;;;;;;;;;;;;;;;;
40.122.782/0001-56;CAMPOS ASSESSORIA EM COMERCIO EXTERIOR LTDA;Ativa;;;;;;;;;;;;;;;;
15.372.150/0001-01;CANAL VERDE LOG ASSESSORIA ADUANEIRA LTDA;Ativa;;;;;;;;;;;;;;;;
81.060.469/0001-18;CANOPUS AGENCIA MARITIMA LTDA;Ativa;;;;;;;;;;;;;;;;
00.586.138/0003-86;CAPITAL CORPORATION AGENCIAMEN DE CARGAS NAC E INT LTDA;Ativa;;;;;;;;;;;;;;;;
00.586.138/0010-05;CAPITAL CORPORATION AGENCIAMEN DE CARGAS NAC E INT LTDA;Ativa;;;;;;;;;;;;;;;;
00.586.138/0001-14;CAPITAL CORPORATION AGENCIAMEN DE CARGAS NAC E INT LTDA;Ativa;;;;;;;;;;;;;;;;
00.586.138/0006-29;CAPITAL CORPORATION AGENCIAMEN DE CARGAS NAC E INT LTDA;Ativa;;;;;;;;;;;;;;;;
00.586.138/0011-96;CAPITAL CORPORATION AGENCIAMEN DE CARGAS NAC E INT LTDA;Ativa;;;;;;;;;;;;;;;;
00.586.138/0013-58;CAPITAL CORPORATION AGENCIAMEN DE CARGAS NAC E INT LTDA;Ativa;;;;;;;;;;;;;;;;
41.152.447/0001-63;CAPITAL SHIPPING SERVICES LTDA;Ativa;;;;;;;;;;;;;;;;
90.280.298/0001-23;CAPITAL-AGENCIAMENTO DE TRANSPORTES INTERNACIONAIS LTDA;Ativa;;;;;;;;;;;;;;;;
11.233.216/0001-13;CAPITALLOG LOGISTICA LTDA;Ativa;;;;;;;;;;;;;;;;
11.233.216/0002-02;CAPITALLOG LOGISTICA LTDA;Ativa;;;;;;;;;;;;;;;;
12.888.247/0001-75;CAPODEFERRO CONSULTORIA EM COMERCIO EXTERIOR LTDA.;Ativa;;;;;;;;;;;;;;;;
00.080.671/0011-81;CARAMURU ALIMENTOS  S/A;Ativa;;;;;;;;;;;;;;;;
27.273.653/0001-09;CARESHIP GLOBAL FORWARDER LTDA;Ativa;;;;;;;;;;;;;;;;
60.498.706/0161-50;CARGILL AGRICOLA S A;Ativa;;;;;;;;;;;;;;;;
60.498.706/0001-57;CARGILL AGRICOLA S A;Ativa;;;;;;;;;;;;;;;;
60.498.706/0003-19;CARGILL AGRICOLA S A;Ativa;;;;;;;;;;;;;;;;
60.498.706/0009-04;CARGILL AGRICOLA S A;Ativa;;;;;;;;;;;;;;;;
60.498.706/0335-94;CARGILL AGRICOLA S A;Ativa;;;;;;;;;;;;;;;;
38.113.182/0001-80;CARGO 3 AGENCIAMENTO DE CARGAS INTERNACIONAIS LTDA;Ativa;;;;;;;;;;;;;;;;
44.333.339/0001-85;CARGO BOOKING LOGISTICS LTDA;Ativa;;;;;;;;;;;;;;;;
01.864.392/0001-08;CARGO EXPRESS DESPACHOS ADUANEIROS LTDA;Ativa;;;;;;;;;;;;;;;;
10.481.981/0001-90;CARGO EXPRESS LOGISTICA LTDA;Ativa;;;;;;;;;;;;;;;;
21.539.950/0001-69;CARGO FREIGHT ASSESSORIA EM COMERCIO EXTERIOR E AGENCIAMENTO DE CARGAS LTDA;Ativa;;;;;;;;;;;;;;;;
34.010.538/0001-07;CARGO LINE DESPACHOS & REPRESENTACOES LTDA;Ativa;;;;;;;;;;;;;;;;
05.596.191/0001-10;CARGO LUZ E CONSULTORIA LTDA;Ativa;;;;;;;;;;;;;;;;
