model,feature_config,dataset,mae_q90,mae_q95,bias_q90,bias_q95,underprediction_rate_q90,underprediction_rate_q95
HistGradientBoosting,ORIGINAL,final_test,211.3074079170802,308.0028455562569,-211.11240061836423,-308.0028455562569,0.9975049900199601,1.0
HistGradientBoosting,ENRICHED_SAFE_HISTORY,final_test,198.01992118320075,292.10147307006685,-197.48282094539258,-292.10147307006685,0.9905189620758483,1.0
