model,feature_config,dataset,mae,rmse,medae,rmsle,q90_threshold_h,q95_threshold_h,n_q90,mae_q90,bias_q90,underprediction_rate_q90,n_q95,mae_q95,bias_q95,underprediction_rate_q95,ridge_alpha
HistGradientBoosting,ENRICHED_SAFE_HISTORY,calibration,39.44947882787363,84.41342938939424,16.325877314120117,0.7867333494795532,161.41666666666666,254.1333333333332,2048,209.76439170075213,-208.7724297777221,0.98974609375,946,319.6005158789139,-319.6005158789139,1.0,
Random Forest,ENRICHED_SAFE_HISTORY,calibration,39.80389193291192,86.2380262323603,16.10091437118376,0.7993151393946935,161.41666666666666,254.1333333333332,2048,217.65346618933452,-217.51823700129248,0.99560546875,946,330.2116601214014,-330.2116601214014,1.0,
Gradient Boosting,ENRICHED_SAFE_HISTORY,calibration,40.133354608218056,84.27395511105944,16.80875487708297,0.8031607820741148,161.41666666666666,254.1333333333332,2048,204.78014370357783,-202.8324614015723,0.984375,946,311.7753298347813,-311.5045827397643,0.9978858350951374,
HistGradientBoosting,ORIGINAL,calibration,41.82982991394968,88.006984996764,16.92184575508135,0.8478010058324494,161.41666666666666,254.1333333333332,2048,221.56500056437238,-221.394641446146,0.99560546875,946,333.09497078751673,-333.08682431237276,0.9989429175475687,
Random Forest,ORIGINAL,calibration,42.040286373368076,87.97777155083682,17.55052797397265,0.8533050702582582,161.41666666666666,254.1333333333332,2048,221.9588253577827,-221.94282666831572,0.99951171875,946,332.937659598368,-332.937659598368,1.0,
Gradient Boosting,ORIGINAL,calibration,42.23291899680708,88.46388754485861,17.352059423662688,0.8590204592866831,161.41666666666666,254.1333333333332,2048,222.9104584980985,-222.43567665456203,0.99462890625,946,333.9495906381841,-333.9495906381841,1.0,
Ridge,ENRICHED_SAFE_HISTORY,calibration,43.45110973833654,167.0431261446668,17.695763451654194,0.8612053611570668,161.41666666666666,254.1333333333332,2048,218.55203566653174,-214.8495986549659,0.98193359375,946,326.51742378970715,-323.85283299605095,0.9904862579281184,100.0
Ridge,ORIGINAL,calibration,47.01127239874871,121.91732759262038,18.58881758494848,0.9201027922194559,161.41666666666666,254.1333333333332,2048,235.694452140563,-233.42854576588857,0.99462890625,946,346.8027075530234,-346.7339920150324,0.9989429175475687,10.0
