metric,notebook,official,delta
final_mae_ORIGINAL,41.6698937923385,41.6698937923385,0.0
final_mae_ENRICHED_SAFE_HISTORY,38.35086915272785,38.35086915272785,0.0
quantile_pinball_p50,19.345338317017276,19.34533831701728,-3.552713678800501e-15
quantile_pinball_p90,15.16947383056671,15.16947383056671,0.0
quantile_pinball_p95,10.70212746200867,10.70212746200867,0.0
quantile_mean_width_p95_p50_h,134.7851726335985,134.7851726335985,0.0
