model,feature_config,dataset,mae,rmse,medae,rmsle,q90_threshold_h,q95_threshold_h,n_q90,mae_q90,bias_q90,underprediction_rate_q90,n_q95,mae_q95,bias_q95,underprediction_rate_q95,mae_gain_h_vs_original,mae_gain_pct_vs_original
HistGradientBoosting,ORIGINAL,final_test,41.6698937923385,83.75958489675261,17.783350801785474,0.834192933397982,163.82666666666677,255.59833333333324,2004,211.3074079170802,-211.11240061836423,0.9975049900199601,963,308.0028455562569,-308.0028455562569,1.0,0.0,0.0
HistGradientBoosting,ENRICHED_SAFE_HISTORY,final_test,38.35086915272785,79.64827586491747,16.032342461456473,0.7691343274864875,163.82666666666677,255.59833333333324,2004,198.01992118320075,-197.48282094539258,0.9905189620758483,963,292.10147307006685,-292.10147307006685,1.0,3.319024639610646,7.9650422344510226
