Período: 01/05/2022 à 26/07/2022;Porto;DUVs Atracados;DUVs Atracados - Desatracados;DUVs Atracados - Não Desatracados;DUVs com Previsão de Desatracação;DUVs com Previsão de Desatracação - Cancelados;DUVs com Previsão de Desatracação - Não Solicitou Atracação;DUVs com Previsão de Desatracação - Desatracados;DUVs com Previsão de Desatracação - Não Desatracados(*);DUVs Desatracados no Período
;TERGASUL - CANOAS - RS ;7;7;0;7;0;0;7;0;7
;TERMINAL AQUAVIARIO ;3;3;0;5;1;0;3;1;3
;TERMINAL AQUAVIÁRIO ;28;27;1;30;0;0;28;2;28
;TERMINAL AQUAVIÁRIO ;18;18;0;19;1;0;18;0;18
;TERMINAL AQUAVIÁRIO ;162;157;5;227;13;19;168;27;164
;TERMINAL AQUAVIÁRIO ;0;0;0;0;0;0;0;0;0
;TERMINAL BELMONTE - BA ;37;37;0;40;0;3;37;0;37
;TERMINAL DE BENTO ;5;5;0;15;3;3;5;4;5
;TERMINAL DE CARAVELAS ;0;0;0;0;0;0;0;0;0
;TERMINAL DE GRÃOS ;20;17;3;23;3;0;18;2;18
;TERMINAL FLUVIAL ;1;1;0;1;0;0;1;0;1
;TERMINAL FLUVIAL DE ;22;22;0;23;2;0;21;0;22
;TERMINAL FLUVIAL MRN ;52;50;2;61;4;2;52;3;51
;TERMINAL FLUVIAL RIO ;6;6;0;7;0;0;7;0;7
;TERMINAL PETROBRÁS - ;300;268;32;673;34;122;262;255;268
;TERMINAL TRANSPETRO - ;4;4;0;113;2;7;4;100;4
;TESC - TERMINAL SANTA ;78;78;0;123;3;40;80;0;80
;TFB - EQUADOR LOG - ;32;30;2;35;1;1;31;2;31
;THYSSENKRUPP TERNIUM ;33;32;1;39;3;0;33;3;33
;TLP - TERMINAL ;0;0;0;0;0;0;0;0;0
;TMIB - TERMINAL INACIO ;13;12;1;13;0;0;13;0;13
;TPS - TERMINAL ;56;53;3;61;1;0;59;1;56
;TRBA - TERMINAL DE ;7;7;0;8;1;0;6;1;7
;TRIGOLAR - OCRIM - ;2;2;0;2;0;0;2;0;2
;TUBARÃO - ES - CVRD - ;86;85;1;156;23;9;87;37;88
;VILA DO CONDE - BRVDC;125;106;19;333;27;60;114;132;114
;VITÓRIA - BRVIX;144;137;7;277;25;27;140;85;139
;YARA CANOAS - BRRS028;0;0;0;0;0;0;0;0;0
;YARA PORTO ALEGRE - ;16;16;0;23;5;1;17;0;17
