Período: 01/08/2024 à 31/10/2024;Porto;DUVs Atracados;DUVs Atracados - Desatracados;DUVs Atracados - Não Desatracados;DUVs com Previsão de Desatracação;DUVs com Previsão de Desatracação - Cancelados;DUVs com Previsão de Desatracação - Não Solicitou Atracação;DUVs com Previsão de Desatracação - Desatracados;DUVs com Previsão de Desatracação - Não Desatracados(*);DUVs Desatracados no Período
;TERFRON - TERMINAL ;0;0;0;28;6;11;0;11;0
;TERGASUL - CANOAS - RS ;4;4;0;4;0;0;4;0;5
;TERMINAL AMAZONGÁS - ;0;0;0;0;0;0;0;0;0
;TERMINAL AQUAVIARIO ;2;2;0;2;0;0;2;0;2
;TERMINAL AQUAVIARIO ;17;17;0;18;1;0;17;0;17
;TERMINAL AQUAVIARIO ;21;19;2;51;3;23;19;6;19
;TERMINAL AQUAVIÁRIO ;0;0;0;3;1;2;0;0;0
;TERMINAL AQUAVIÁRIO ;0;0;0;31;2;26;0;3;0
;TERMINAL AQUAVIÁRIO ;0;0;0;0;0;0;0;0;0
;TERMINAL BELMONTE - BA ;31;31;0;31;0;0;31;0;31
;TERMINAL BRASFELS - ;3;3;0;3;0;0;3;0;3
;TERMINAL DA BABITONGA ;0;0;0;0;0;0;0;0;0
;TERMINAL DA BRASKARNE ;6;6;0;6;0;0;6;0;6
;TERMINAL DA CARGILL - ;0;0;0;0;0;0;0;0;0
;TERMINAL DA DOW ;2;2;0;2;0;0;2;0;2
;TERMINAL DA FOGÁS - ;0;0;0;0;0;0;0;0;0
;TERMINAL DA PETROBRÁS ;38;38;0;43;1;2;40;0;40
;TERMINAL DE CARAVELAS ;0;0;0;0;0;0;0;0;0
;TERMINAL DE CARVÃO DA ;1;0;1;43;3;3;0;37;0
;TERMINAL DE EXPEDIÇÃO ;0;0;0;0;0;0;0;0;0
;TERMINAL DE GRÃOS ;27;25;2;32;4;1;25;2;25
;TERMINAL DE MINERIO ;108;90;18;122;7;3;92;20;92
;TERMINAL FLUVIAL ;0;0;0;1;0;0;1;0;1
;TERMINAL FLUVIAL DE ;39;39;0;38;0;0;38;0;38
;TERMINAL FLUVIAL ;0;0;0;0;0;0;0;0;0
;TERMINAL FLUVIAL MRN ;74;74;0;78;4;1;73;0;74
;TERMINAL FLUVIAL RIO ;3;3;0;4;0;0;4;0;4
;TERMINAL HERMASA DA ;19;18;1;22;0;0;21;1;21
;TERMINAL MERLIM - ;40;40;0;48;7;0;41;0;39
;TERMINAL PETROBRÁS - ;220;216;4;410;21;102;217;70;216
;TERMINAL PORTONAVE - ;109;109;0;141;23;6;110;2;110
;TERMINAL PORTUÁRIO ;2;1;1;83;4;70;1;8;1
;TERMINAL PORTUÁRIO ;3;3;0;3;0;0;3;0;3
