Período: 01/11/2022 à 31/01/2023;Porto;DUVs Atracados;DUVs Atracados - Desatracados;DUVs Atracados - Não Desatracados;DUVs com Previsão de Desatracação;DUVs com Previsão de Desatracação - Cancelados;DUVs com Previsão de Desatracação - Não Solicitou Atracação;DUVs com Previsão de Desatracação - Desatracados;DUVs com Previsão de Desatracação - Não Desatracados(*);DUVs Desatracados no Período
;ALUMAR - SÃO LUIZ - MA - ;93;93;0;98;4;0;93;1;93
;ANGRA DOS REIS - BRADR;19;10;9;40;3;4;10;23;10
;ANTONINA - BRANT;14;14;0;19;2;0;17;0;17
;ARATU - BRARB;127;123;4;136;5;1;127;3;128
;AREIA BRANCA (TERMISA) ;242;242;0;374;11;115;244;4;244
;ATEM´S - MANAUS - AM - ;7;6;1;10;2;0;8;0;8
;ATEM´S - PORTO VELHO-;0;0;0;0;0;0;0;0;0
;BARRA DO RIACHO - ;3;3;0;10;4;0;3;3;3
;BARRA DO RIO TERMINAL ;4;4;0;6;0;0;5;1;5
;BELEM - BRBEL;117;102;15;196;31;32;108;25;108
;BERTOLINI SANTARÉM - ;0;0;0;0;0;0;0;0;0
;BIANCHINI - CANOAS - RS ;51;48;3;60;10;0;47;3;47
;BRASFELS - ANGRA DOS ;2;2;0;4;0;1;3;0;3
;BRASKARNE - ITAJAÍ - SC - ;2;2;0;3;0;0;3;0;3
;BRASKEM - MACEIO - AL - ;13;12;1;18;2;2;13;1;13
;CABEDELO - BRCDO;26;24;2;29;1;1;27;0;27
;CELSE TERMINAL DE ;0;0;0;0;0;0;0;0;0
;CHIBATÃO NAVEGAÇÃO E ;58;56;2;81;15;7;58;1;58
;CIA FLORESTAL MONTE ;0;0;0;0;0;0;0;0;0
;CIA PORTUARIA VILA ;28;26;2;34;1;5;26;2;26
;CIA. REFINADORA DA ;0;0;0;1;0;0;0;1;0
;CIMENTO VENCEMOS DO ;3;3;0;4;0;0;4;0;4
;CIMPOR - BRMRS001;0;0;0;0;0;0;0;0;0
;CMPC - GUAIBA - RS - ;144;142;2;150;3;1;144;2;143
;COPELMI - BRCQD002;0;0;0;1;1;0;0;0;0
;COTEGIPE - SALVADOR - ;27;26;1;27;0;0;26;1;27
;DOW BRASIL - ARATU - BA ;21;21;0;22;1;0;21;0;21
;ENSEADA INDÚSTRIA ;5;5;0;5;0;0;5;0;5
;ESTALEIRO JURONG - ;9;6;3;19;4;1;6;8;6
;ETC BERTOLINI SANTANA - ;0;0;0;0;0;0;0;0;0
;FERROPORT - PORTO DO ;113;104;9;121;4;2;103;12;108
;FORD MOTOR - ARATU - ;0;0;0;0;0;0;0;0;0
;FORNO (ARRAIAL DO ;0;0;0;0;0;0;0;0;0
;FORTALEZA (MUCURIPE) - ;178;171;7;202;8;4;180;10;178
;GERDAU AÇOS LONGOS - ;4;4;0;9;2;2;4;1;4
;HERMASA DA AMAZÔNIA - ;27;25;2;27;1;0;25;1;25
;HIDROVIAS DO BRASIL - ;0;0;0;0;0;0;0;0;0
;HIDROVIAS DO BRASIL - ;0;0;0;39;2;18;0;19;0
;IBEPAR MANAUS - ;0;0;0;0;0;0;0;0;0
;ILHA GUAÍBA - ITAGUAÍ - ;26;26;0;60;19;4;26;11;26
;ILHEUS - BRIOS;17;17;0;20;2;0;18;0;18
;IMBITUBA - BRIBB;68;66;2;78;3;3;68;4;68
;ITAGUAÍ - BRIGI;122;116;6;188;31;6;121;30;121
;ITAJAÍ - BRITJ;83;55;28;110;10;4;62;34;61
;ITAPOA - SC - BRIOA001;134;134;0;150;11;1;135;3;135
;ITAQUI - BRIQI;205;182;23;241;4;22;189;26;188
;J. F. DE OLIVEIRA ;0;0;0;0;0;0;0;0;0
;LAGUNA - BRVLL;0;0;0;0;0;0;0;0;0
;MACEIÓ - BRMCZ;72;71;1;81;3;4;73;1;73
