Período: 01/11/2022 à 31/01/2023;Porto;DUVs Atracados;DUVs Atracados - Desatracados;DUVs Atracados - Não Desatracados;DUVs com Previsão de Desatracação;DUVs com Previsão de Desatracação - Cancelados;DUVs com Previsão de Desatracação - Não Solicitou Atracação;DUVs com Previsão de Desatracação - Desatracados;DUVs com Previsão de Desatracação - Não Desatracados(*);DUVs Desatracados no Período
;MADRE DE DEUS - ;72;71;1;89;5;0;75;9;75
;MANAUS - BRMAO;5;4;1;9;4;0;4;1;4
;MERLIN LUDEMAX - RS - ;39;37;2;45;8;0;37;0;37
;NATAL - BRNAT;70;60;10;80;3;1;63;13;63
;NITERÓI - BRNTR;102;99;3;131;7;2;104;18;106
;NOV FLEXIBLES - ;0;0;0;0;0;0;0;0;0
;OLEOPLAN CANOAS RS - ;25;25;0;28;3;0;25;0;25
;PARANAGUA - BRPNG;564;549;15;643;36;10;563;34;563
;PECEM - BRPEC;175;166;9;208;29;3;173;3;172
;PELOTAS - BRPET;124;124;0;136;11;0;125;0;124
;POLY TERMINAIS (DOW ;1;1;0;1;0;0;1;0;1
;PONTA DA MADEIRA - ;152;147;5;180;6;19;148;7;150
;PONTA DE UBU - ES - ;29;28;1;34;3;1;28;2;28
;PORTO ALEGRE - RS - ;36;35;1;57;21;0;36;0;37
;PORTOCEL - TERMINAL ;101;101;0;113;4;2;104;3;103
;PORTO CRAI - BRPA033;0;0;0;0;0;0;0;0;0
;PORTO DO AÇU - BRRJ022;654;651;3;1369;106;314;660;289;659
;PORTONAVE - ;169;169;0;201;23;6;170;2;170
;PORTO SUDESTE - ;41;40;1;47;4;2;40;1;40
;PORTO VELHO - RO - ;0;0;0;0;0;0;0;0;0
;PRAIA MOLE - ES - ;0;0;0;36;3;2;0;31;0
;RECIFE - BRREC;103;96;7;115;5;1;105;4;105
;RIO DE JANEIRO - BRRIO;1978;1881;97;2473;184;114;1970;205;1978
;RIO GRANDE - BRRIG;394;371;23;805;48;336;381;40;383
;SALVADOR - BRSSA;207;205;2;257;29;9;208;11;208
;SANTANA/MACAPA - ;12;11;1;11;0;0;11;0;11
;SANTAREM - BRSTM;53;49;4;96;8;29;51;8;51
;SANTOS - BRSSZ;1249;1144;105;1447;126;23;1181;117;1179
;SAO FRANCISCO DO SUL - ;90;87;3;154;27;8;97;22;97
;SAO SEBASTIAO - BRSSO;53;51;2;81;9;13;57;2;57
;SUAPE - BRSUA;374;357;17;486;68;18;379;21;376
;SUPER TERMINAIS - ;17;16;1;16;0;0;16;0;16
;TBO - TERMINAL ;9;9;0;10;0;0;10;0;10
;TEDUT - TERMINAL ;37;37;0;47;4;5;38;0;38
;TEMAN - PETROBRAS - ;44;41;3;62;2;4;46;10;44
;TEPORTI - TERMINAL ;7;7;0;8;0;0;8;0;8
;TERFRAN - TERMINAL ;0;0;0;0;0;0;0;0;0
;TERFRON - TERMINAL ;13;13;0;16;0;2;13;1;13
;TERGASUL - CANOAS - RS ;5;5;0;7;0;0;5;2;5
;TERMINAL AQUAVIARIO ;1;1;0;1;0;0;1;0;1
;TERMINAL AQUAVIÁRIO ;27;26;1;28;0;0;28;0;28
;TERMINAL AQUAVIÁRIO ;22;20;2;26;2;2;20;2;20
;TERMINAL AQUAVIÁRIO ;180;176;4;241;12;25;177;27;179
;TERMINAL AQUAVIÁRIO ;0;0;0;0;0;0;0;0;0
;TERMINAL BELMONTE - BA ;40;40;0;40;0;0;40;0;40
;TERMINAL DE BENTO ;8;8;0;28;0;11;8;9;8
;TERMINAL DE CARAVELAS ;0;0;0;0;0;0;0;0;0
;TERMINAL DE GRÃOS ;11;9;2;19;2;1;11;5;11
;TERMINAL FLUVIAL ;0;0;0;0;0;0;0;0;0
;TERMINAL FLUVIAL DE ;30;30;0;29;0;0;29;0;30
;TERMINAL FLUVIAL MRN ;56;56;0;64;3;3;57;1;57
;TERMINAL FLUVIAL RIO ;8;8;0;9;0;0;9;0;9
;TERMINAL PETROBRÁS - ;266;260;6;722;236;130;262;94;264
;TERMINAL TRANSPETRO - ;109;105;4;130;3;3;109;15;108
;TESC - TERMINAL SANTA ;43;43;0;110;10;55;43;2;43
;TFB - EQUADOR LOG - ;31;30;1;34;2;0;31;1;31
;THYSSENKRUPP TERNIUM ;35;32;3;40;5;0;32;3;32
;TLP - TERMINAL ;0;0;0;0;0;0;0;0;0
;TMIB - TERMINAL INACIO ;9;9;0;9;0;0;9;0;9
;TPS - TERMINAL ;65;62;3;73;7;1;62;3;62
;TRBA - TERMINAL DE ;2;2;0;5;1;0;3;1;2
;TRIGOLAR - OCRIM - ;0;0;0;2;0;0;1;1;0
;TUBARÃO - ES - CVRD - ;77;76;1;139;22;4;76;37;76
;VILA DO CONDE - BRVDC;34;21;13;359;31;75;22;231;22
;VITÓRIA - BRVIX;85;82;3;262;24;57;85;96;86
;YARA CANOAS - BRRS028;0;0;0;1;1;0;0;0;0
;YARA PORTO ALEGRE - ;8;8;0;13;4;0;9;0;9
