Porto;DUVs Atracados;DUVs Atracados - Desatracados;DUVs Atracados - Não Desatracados;DUVs com Previsão de Desatracação;DUVs com Previsão de Desatracação - Cancelados;DUVs com Previsão de Desatracação - Não Solicitou Atracação;DUVs com Previsão de Desatracação - Desatracados;DUVs com Previsão de Desatracação - Não Desatracados(*);DUVs Desatracados no Período
TERMINAL AQUAVIÁRIO ;26;26;0;27;0;1;26;0;26
TERMINAL AQUAVIÁRIO ;168;163;5;247;41;13;171;22;171
TERMINAL AQUAVIÁRIO ;0;0;0;0;0;0;0;0;0
TERMINAL BELMONTE - BA ;34;34;0;35;0;1;34;0;34
TERMINAL DE BENTO ;0;0;0;16;3;5;0;8;0
TERMINAL DE CARAVELAS ;0;0;0;0;0;0;0;0;0
TERMINAL DE GRÃOS ;15;14;1;18;2;0;14;2;14
TERMINAL FLUVIAL ;3;3;0;3;0;0;3;0;3
TERMINAL FLUVIAL DE ;28;27;1;29;1;0;27;1;27
TERMINAL FLUVIAL MRN ;49;48;1;58;6;1;49;2;49
TERMINAL FLUVIAL RIO ;11;10;1;11;0;0;10;1;10
TERMINAL PETROBRÁS - ;270;210;60;597;40;142;208;207;213
TERMINAL TRANSPETRO - ;0;0;0;136;0;11;0;125;0
TESC - TERMINAL SANTA ;96;96;0;140;1;40;97;2;97
TFB - EQUADOR LOG - ;24;22;2;28;2;0;25;1;25
THYSSENKRUPP TERNIUM ;40;37;3;41;1;0;38;2;38
TLP - TERMINAL ;0;0;0;0;0;0;0;0;0
TMIB - TERMINAL INACIO ;9;8;1;9;1;0;8;0;8
TPS - TERMINAL ;61;58;3;65;1;0;61;3;61
TRBA - TERMINAL DE ;3;3;0;6;2;0;3;1;3
TRIGOLAR - OCRIM - ;1;1;0;0;0;0;0;0;1
TUBARÃO - ES - CVRD - ;66;63;3;114;16;5;64;29;63
VILA DO CONDE - BRVDC;167;153;14;252;13;24;158;57;159
VITÓRIA - BRVIX;162;153;9;285;31;30;155;69;155
YARA CANOAS - BRRS028;0;0;0;0;0;0;0;0;0
YARA PORTO ALEGRE - ;11;11;0;14;0;3;11;0;11
