Período: 01/02/2024 à 31/03/2024;Porto;DUVs Atracados;DUVs Atracados - Desatracados;DUVs Atracados - Não Desatracados;DUVs com Previsão de Desatracação;DUVs com Previsão de Desatracação - Cancelados;DUVs com Previsão de Desatracação - Não Solicitou Atracação;DUVs com Previsão de Desatracação - Desatracados;DUVs com Previsão de Desatracação - Não Desatracados(*);DUVs Desatracados no Período
;SUPER TERMINAIS - ;16;15;1;19;3;0;15;1;15
;TBO - TERMINAL ;6;6;0;8;0;0;6;2;6
;TEDUT - TERMINAL ;28;28;0;29;2;0;27;0;27
;TEPORTI - TERMINAL ;5;5;0;5;0;0;5;0;5
;TERFRON - TERMINAL ;0;0;0;16;0;9;0;7;0
;TERGASUL - CANOAS - RS ;3;3;0;3;0;0;3;0;3
;TERMINAL AQUAVIARIO ;1;1;0;1;0;0;1;0;0
;TERMINAL AQUAVIÁRIO ;8;8;0;7;0;0;7;0;7
;TERMINAL AQUAVIARIO ;11;11;0;31;4;8;14;5;13
;TERMINAL AQUAVIÁRIO ;13;13;0;12;0;0;12;0;12
;TERMINAL AQUAVIÁRIO ;0;0;0;20;2;14;0;4;0
;TERMINAL AQUAVIÁRIO ;0;0;0;0;0;0;0;0;0
;TERMINAL BELMONTE - BA ;26;26;0;27;0;0;27;0;27
;TERMINAL DA BABITONGA ;1;0;1;1;0;0;0;1;0
;TERMINAL DA CARGILL - ;0;0;0;0;0;0;0;0;0
;TERMINAL DA DOW ;1;1;0;2;1;0;1;0;1
;TERMINAL DE BENTO ;0;0;0;13;1;6;0;6;0
;TERMINAL DE CARAVELAS ;0;0;0;0;0;0;0;0;0
;TERMINAL DE EXPEDIÇÃO ;0;0;0;0;0;0;0;0;0
;TERMINAL DE GRÃOS ;11;10;1;12;1;0;9;2;10
;TERMINAL DE MINERIO ;78;67;11;85;4;1;67;13;67
;TERMINAL FLUVIAL ;0;0;0;1;0;0;1;0;1
;TERMINAL FLUVIAL DE ;17;17;0;17;0;0;17;0;18
;TERMINAL FLUVIAL ;0;0;0;0;0;0;0;0;0
;TERMINAL FLUVIAL MRN ;36;36;0;40;4;1;35;0;35
;TERMINAL FLUVIAL RIO ;6;6;0;7;1;0;6;0;6
;TERMINAL PETROBRÁS - ;220;204;16;340;32;53;204;51;207
;TERMINAL PORTUÁRIO ;12;12;0;12;0;0;12;0;12
;TERMINAL TRANSPETRO - ;70;63;7;98;6;6;68;18;68
;TERMINAL TRANSPETRO - ;131;125;6;151;5;12;123;11;124
;TESC - TERMINAL SANTA ;0;0;0;57;2;50;0;5;0
;TFB - EQUADOR LOG - ;13;13;0;15;2;1;12;0;12
;THYSSENKRUPP TERNIUM ;21;20;1;21;0;0;20;1;20
;TLP - TERMINAL ;0;0;0;0;0;0;0;0;0
;TMG-ITAPUA - TERMINAL ;5;5;0;8;0;0;6;2;6
;TMIB - TERMINAL INACIO ;9;9;0;11;1;0;10;0;10
;TPS - TERMINAL ;42;42;0;44;2;0;42;0;42
;TRBA - TERMINAL DE ;0;0;0;3;0;0;0;3;0
;TRIGOLAR - OCRIM - ;1;1;0;1;0;0;1;0;1
;TUBARÃO - ES - CVRD - ;57;57;0;82;7;6;57;12;56
;TUP NSR - NOVA SANTA ;4;4;0;5;1;0;4;0;3
;TUP SUPERGASBRAS - ;0;0;0;0;0;0;0;0;0
;VILA DO CONDE - BRVDC;156;148;8;287;14;79;150;44;150
;VITÓRIA - BRVIX;42;39;3;202;11;35;44;112;43
;YARA CANOAS - BRRS028;0;0;0;0;0;0;0;0;0
;YARA PORTO ALEGRE - ;4;4;0;9;1;3;4;1;4
