Período: 01/11/2024 à 31/01/2025;Porto;DUVs Atracados;DUVs Atracados - Desatracados;DUVs Atracados - Não Desatracados;DUVs com Previsão de Desatracação;DUVs com Previsão de Desatracação - Cancelados;DUVs com Previsão de Desatracação - Não Solicitou Atracação;DUVs com Previsão de Desatracação - Desatracados;DUVs com Previsão de Desatracação - Não Desatracados(*);DUVs Desatracados no Período
;TERM AQUAVIARIO DE ;0;0;0;0;0;0;0;0;0
;TERMINAL AMAZONGÁS - ;0;0;0;0;0;0;0;0;0
;TERMINAL AQUAVIARIO ;4;4;0;4;0;0;4;0;3
;TERMINAL AQUAVIARIO ;18;18;0;19;1;1;17;0;17
;TERMINAL AQUAVIÁRIO ;86;82;4;97;5;0;82;10;82
;TERMINAL AQUAVIARIO ;17;13;4;47;0;26;13;8;13
;TERMINAL AQUAVIÁRIO ;3;2;1;5;0;2;2;1;2
;TERMINAL AQUAVIÁRIO ;0;0;0;37;0;34;0;3;0
;TERMINAL AQUAVIÁRIO ;0;0;0;0;0;0;0;0;0
;TERMINAL BELMONTE - BA ;38;38;0;40;1;1;38;0;38
;TERMINAL BRASFELS - ;6;5;1;8;2;0;5;1;5
;TERMINAL DA BABITONGA ;0;0;0;1;0;0;0;1;0
;TERMINAL DA BRASKARNE ;7;7;0;9;2;0;7;0;7
;TERMINAL DA CARGILL - ;0;0;0;0;0;0;0;0;0
;TERMINAL DA DOW ;21;21;0;22;2;0;20;0;20
;TERMINAL DA DOW ;2;2;0;2;0;0;2;0;2
;TERMINAL DA FOGÁS - ;0;0;0;0;0;0;0;0;0
;TERMINAL DA PETROBRÁS ;43;43;0;46;1;3;42;0;42
;TERMINAL DE CARAVELAS ;0;0;0;0;0;0;0;0;0
;TERMINAL DE CARVÃO DA ;0;0;0;45;2;3;0;40;0
;TERMINAL DE EXPEDIÇÃO ;0;0;0;0;0;0;0;0;0
;TERMINAL DE GRÃOS ;6;6;0;9;1;1;6;1;6
;TERMINAL DE MINERIO ;105;93;12;105;4;2;88;11;90
;TERMINAL FLUVIAL ;1;1;0;1;0;0;1;0;1
;TERMINAL FLUVIAL DE ;36;36;0;35;0;0;35;0;36
;TERMINAL FLUVIAL ;0;0;0;0;0;0;0;0;0
;TERMINAL FLUVIAL MRN ;68;66;2;75;3;2;68;2;67
;TERMINAL FLUVIAL RIO ;8;8;0;7;0;0;7;0;7
;TERMINAL HERMASA DA ;26;26;0;25;0;0;25;0;25
;TERMINAL MBR ILHA ;36;36;0;53;4;1;39;9;38
;TERMINAL MERLIM - ;42;41;1;56;13;1;41;1;41
;TERMINAL PETROBRÁS - ;326;320;6;500;34;94;319;53;320
;TERMINAL PORTONAVE - ;109;109;0;137;26;4;107;0;108
;TERMINAL PORTUÁRIO ;3;3;0;53;2;41;3;7;3
;TERMINAL PORTUÁRIO ;2;2;0;2;0;0;2;0;2
;TERMINAL PORTUARIO ;12;12;0;25;4;7;13;1;13
;TERMINAL PORTUÁRIO ;13;13;0;16;2;0;14;0;14
;TERMINAL TRANSPETRO - ;127;127;0;143;19;1;123;0;123
;TERMINAL TRANSPETRO - ;171;167;4;204;3;18;167;16;165
;TERMINAL VETORIAL ;0;0;0;0;0;0;0;0;0
;TFB - EQUADOR LOG - ;13;11;2;14;0;0;14;0;14
;THYSSENKRUPP TERNIUM ;28;28;0;29;1;0;28;0;28
;TLP - TERMINAL ;0;0;0;0;0;0;0;0;0
;TMG-ITAPUA - TERMINAL ;15;15;0;18;1;0;16;1;16
;TMIB - TERMINAL INACIO ;14;14;0;15;1;0;14;0;14
;TPS - TERMINAL ;61;61;0;65;2;1;62;0;62
;TRBA - TERMINAL DE ;0;0;0;6;2;1;0;3;0
;TRIGOLAR - OCRIM - ;1;1;0;2;1;0;1;0;1
;TUBARÃO - ES - CVRD - ;80;80;0;124;13;6;80;25;82
;TUP NSR - NOVA SANTA ;5;5;0;6;1;0;5;0;5
;TUP SUPERGASBRAS - ;0;0;0;0;0;0;0;0;0
;VILA DO CONDE - BRVDC;246;239;7;363;21;80;241;21;240
;VITÓRIA - BRVIX;22;21;1;242;14;51;29;148;28
;YARA CANOAS - BRRS028;0;0;0;0;0;0;0;0;0
;YARA PORTO ALEGRE - ;25;25;0;31;4;1;26;0;25
