Período: 01/05/2024 à 31/07/2024;Porto;DUVs Atracados;DUVs Atracados - Desatracados;DUVs Atracados - Não Desatracados;DUVs com Previsão de Desatracação;DUVs com Previsão de Desatracação - Cancelados;DUVs com Previsão de Desatracação - Não Solicitou Atracação;DUVs com Previsão de Desatracação - Desatracados;DUVs com Previsão de Desatracação - Não Desatracados(*);DUVs Desatracados no Período
;TERMINAL DA PETROBRÁS ;39;39;0;44;4;3;37;0;37
;TERMINAL DE CARAVELAS ;0;0;0;0;0;0;0;0;0
;TERMINAL DE CARVÃO DA ;1;0;1;49;4;3;0;42;0
;TERMINAL DE EXPEDIÇÃO ;0;0;0;0;0;0;0;0;0
;TERMINAL DE GRÃOS ;26;24;2;34;4;1;26;3;26
;TERMINAL DE MINERIO ;124;107;17;136;7;2;106;21;106
;TERMINAL FLUVIAL ;2;1;1;1;0;0;1;0;1
;TERMINAL FLUVIAL DE ;33;33;0;34;0;0;34;0;33
;TERMINAL FLUVIAL ;0;0;0;0;0;0;0;0;0
;TERMINAL FLUVIAL MRN ;55;55;0;61;2;3;56;0;56
;TERMINAL FLUVIAL RIO ;10;9;1;9;0;0;9;0;9
;TERMINAL HERMASA DA ;44;43;1;46;1;0;44;1;43
;TERMINAL MERLIM - ;32;32;0;38;6;1;31;0;32
;TERMINAL PETROBRÁS - ;249;231;18;494;49;132;231;82;235
;TERMINAL PORTONAVE - ;114;114;0;150;29;6;113;2;115
;TERMINAL PORTUÁRIO ;0;0;0;50;1;44;0;5;0
;TERMINAL PORTUÁRIO ;16;16;0;17;0;0;17;0;17
;TERMINAL TRANSPETRO - ;100;90;10;172;25;8;98;41;98
;TERMINAL TRANSPETRO - ;174;167;7;217;4;19;171;23;170
;TERMINAL VETORIAL ;0;0;0;0;0;0;0;0;0
;TFB - EQUADOR LOG - ;21;17;4;24;1;0;18;5;17
;THYSSENKRUPP TERNIUM ;32;31;1;32;1;0;31;0;31
;TLP - TERMINAL ;0;0;0;0;0;0;0;0;0
;TMG-ITAPUA - TERMINAL ;14;14;0;14;0;0;14;0;14
;TMIB - TERMINAL INACIO ;16;16;0;16;0;0;16;0;16
;TPS - TERMINAL ;70;69;1;75;4;0;69;2;69
;TRBA - TERMINAL DE ;0;0;0;5;0;1;0;4;0
;TRIGOLAR - OCRIM - ;2;2;0;3;0;0;3;0;3
;TUBARÃO - ES - CVRD - ;87;87;0;149;18;14;88;29;88
;TUP NSR - NOVA SANTA ;4;4;0;3;0;0;3;0;3
;TUP SUPERGASBRAS - ;0;0;0;0;0;0;0;0;0
;VILA DO CONDE - BRVDC;233;211;22;420;28;132;215;45;210
;VITÓRIA - BRVIX;65;61;4;322;31;60;66;165;65
;YARA CANOAS - BRRS028;0;0;0;0;0;0;0;0;0
;YARA PORTO ALEGRE - ;3;3;0;5;2;1;2;0;2
