Período: 01/01/2022 à 31/01/2022;Porto;DUVs Atracados;DUVs Atracados - Desatracados;DUVs Atracados - Não Desatracados;DUVs com Previsão de Desatracação;DUVs com Previsão de Desatracação - Cancelados;DUVs com Previsão de Desatracação - Não Solicitou Atracação;DUVs com Previsão de Desatracação - Desatracados;DUVs com Previsão de Desatracação - Não Desatracados(*);DUVs Desatracados no Período
;ALUMAR - SÃO LUIZ - MA - ;28;28;0;27;0;0;27;0;27
;ANGRA DOS REIS - BRADR;2;1;1;4;1;0;1;2;1
;ANTONINA - BRANT;8;7;1;8;0;0;7;1;7
;ARATU - BRARB;49;49;0;50;2;0;48;0;49
;AREIA BRANCA (TERMISA) ;116;116;0;120;4;0;116;0;116
;ATEM´S - MANAUS - AM - ;3;3;0;3;0;0;3;0;3
;ATEM´S - PORTO VELHO-;0;0;0;0;0;0;0;0;0
;BARRA DO RIACHO - ;3;3;0;8;3;0;3;2;3
;BARRA DO RIO TERMINAL ;1;1;0;1;0;0;1;0;1
;BELEM - BRBEL;28;28;0;31;2;0;29;0;29
;BERTOLINI SANTARÉM - ;0;0;0;0;0;0;0;0;0
;BIANCHINI - CANOAS - RS ;26;26;0;28;4;0;24;0;23
;BRASFELS - ANGRA DOS ;0;0;0;0;0;0;0;0;0
;BRASKARNE - ITAJAÍ - SC - ;2;2;0;2;0;0;2;0;2
;BRASKEM - MACEIO - AL - ;7;7;0;6;0;0;6;0;6
;CABEDELO - BRCDO;9;9;0;11;0;0;11;0;11
;CELSE TERMINAL DE ;1;1;0;1;0;0;1;0;1
;CHIBATÃO NAVEGAÇÃO E ;14;14;0;17;3;0;14;0;14
;CIA FLORESTAL MONTE ;2;2;0;1;0;0;1;0;1
;CIA PORTUARIA VILA ;7;7;0;14;5;3;5;1;5
;CIA. REFINADORA DA ;0;0;0;0;0;0;0;0;0
;CIMENTO VENCEMOS DO ;1;1;0;2;0;0;2;0;2
;CIMPOR - BRMRS001;0;0;0;0;0;0;0;0;0
;CMPC - GUAIBA - RS - ;48;48;0;47;0;0;47;0;47
;COPELMI - BRCQD002;0;0;0;0;0;0;0;0;0
;COTEGIPE - SALVADOR - ;9;9;0;10;2;0;8;0;8
;DOW BRASIL - ARATU - BA ;5;5;0;4;0;0;4;0;4
;ENSEADA INDÚSTRIA ;2;2;0;2;0;0;2;0;2
;ESTALEIRO JURONG - ;1;0;1;1;0;1;0;0;0
;ETC BERTOLINI SANTANA - ;0;0;0;0;0;0;0;0;0
;FERROPORT - PORTO DO ;27;27;0;30;1;0;28;1;28
;FORD MOTOR - ARATU - ;0;0;0;0;0;0;0;0;0
;FORNO (ARRAIAL DO ;0;0;0;0;0;0;0;0;0
;FORTALEZA (MUCURIPE) - ;50;48;2;53;7;3;41;2;43
;GERDAU AÇOS LONGOS - ;1;1;0;1;0;0;1;0;1
;HERMASA DA AMAZÔNIA - ;12;12;0;11;0;0;11;0;11
;HIDROVIAS DO BRASIL - ;0;0;0;0;0;0;0;0;0
;HIDROVIAS DO BRASIL - ;0;0;0;8;2;2;0;4;0
;IBEPAR MANAUS - ;0;0;0;0;0;0;0;0;0
