method,n,mean_abs_error_gain_h,ci95_low_h,ci95_high_h,status,n_blocks
paired_global,21002.0,3.319024639610648,3.0392963812906055,3.591270920680165,ok,
block_week,,3.319024639610646,3.0259397453087615,3.626880239331786,ok,27.0
block_port_week,,3.319024639610646,2.8723195360867617,3.772671030608282,ok,1907.0
