port_display,n,mae_original,mae_enriched,absolute_gain_h,percent_gain,actual_q90_h,actual_q95_h
BRRIO - RIO DE JANEIRO - RJ,3805,48.02393435723604,45.82908401816073,2.194850339075309,4.570325960277343,158.86666666666665,238.49999999999977
BRSSZ - SANTOS - SP,2740,69.12887856605873,59.69262269247182,9.436255873586909,13.650237164732443,283.025,390.1091666666666
BRRJ022 - SÃO JOÃO DA BARRA - RJ,1636,32.881966565594865,31.97441873791342,0.9075478276814444,2.7600168799850064,110.275,159.21249999999998
BRPNG - PARANAGUÁ - PR,1268,35.56011250097801,33.625976897111286,1.9341356038667215,5.439059293790274,140.87499999999997,203.10749999999987
BRRIG - SÃO JOSÉ DO NORTE - RS,909,36.498045751059784,35.67583323887459,0.822212512185196,2.252757634732598,156.69666666666672,223.3299999999989
BRSUA - CABO DE SANTO AGOSTINHO - PE,762,49.08444969596675,45.67764142695048,3.406808269016267,6.940707882268879,182.95666666666665,267.1941666666663
BRMEA001 - MACAÉ - RJ,521,30.90825765487407,29.878171720680662,1.0300859341934085,3.332720807803184,103.83333333333333,148.5
BRARE - AREIA BRANCA - RN,482,5.586545450579763,4.095470553307121,1.4910748972726422,26.690463909461272,10.491666666666669,49.93749999999977
BRVDC - BARCARENA - PA,443,39.317532030983315,30.78010578280114,8.537426248182175,21.71404411002818,150.69000000000003,196.28166666666658
BRIQI - SÃO LUIZ - MA,400,39.10547506925876,36.44861885190623,2.6568562173525265,6.794077332258547,146.44833333333335,220.05666666666656
BRPEC - SÃO GONÇALO DO AMARANTE - CE,397,43.44983103911882,43.17944011165094,0.2703909274678793,0.6223060504526254,191.75333333333356,308.1499999999999
BRIOA001 - ITAPOÁ - SC,327,7.283456153806296,7.168378604767573,0.11507754903872325,1.5799854713010708,36.74,41.64
BRSSO002 - SÃO SEBASTIÃO - SP,318,30.739145174680456,27.123202523969496,3.6159426507109593,11.763315570952757,116.80000000000007,206.4791666666666
