model,feature_config,dataset,mae,rmse,medae,rmsle,q90_threshold_h,q95_threshold_h,n_q90,mae_q90,bias_q90,underprediction_rate_q90,n_q95,mae_q95,bias_q95,underprediction_rate_q95,notebook_mae,delta_mae,notebook_rmse,delta_rmse,notebook_medae,delta_medae,notebook_rmsle,delta_rmsle,material_divergence
baseline_global_median,ORIGINAL,validation,56.36327882002423,112.0850157358452,23.933333333333337,1.1003884559748442,161.41666666666666,254.1333333333332,2378,270.2439935520045,-270.2439935520045,1.0,1195,376.8934309623431,-376.8934309623431,1.0,56.36327882002423,0.0,112.0850157358452,0.0,23.933333333333337,0.0,1.1003884559748442,0.0,False
baseline_median_by_port,ORIGINAL,validation,52.10191369544577,108.12844578521434,20.666666666666668,0.9822516369310347,161.41666666666666,254.1333333333332,2378,256.8948521166246,-256.85145430333614,0.9991589571068125,1195,363.55887029288704,-363.49384937238494,0.999163179916318,52.10191369544577,0.0,108.12844578521434,0.0,20.666666666666668,0.0,0.9822516369310347,0.0,False
baseline_hierarchical_port_operation,ORIGINAL,validation,47.864134580755,100.99656130359028,19.283333333333335,0.8950518180457653,161.41666666666666,254.1333333333332,2378,233.39744883655732,-233.2559994393047,0.9970563498738436,1195,338.957880055788,-338.957880055788,1.0,47.864135,-4.192449978290824e-07,100.996561,3.0359028357906936e-07,19.283333,3.3333333604446125e-07,0.895052,-1.819542346792602e-07,False
ridge_original,ORIGINAL,validation,53.12048332035022,130.49727448088757,20.332378264389458,0.9391431309204354,161.41666666666666,254.1333333333332,2378,244.57924893547994,-240.25492476303125,0.9949537426408747,1195,347.72348695164544,-344.88548577059134,0.9974895397489539,,,,,,,,,False
random_forest_original,ORIGINAL,validation,47.588449854600995,99.29463304180452,19.324820003674404,0.8761107153998976,161.41666666666666,254.1333333333332,2378,229.469747486107,-229.4484624411188,0.9991589571068125,1195,331.7113428343632,-331.7113428343632,1.0,47.588449854600995,0.0,99.29463304180452,0.0,19.324820003674404,0.0,0.8761107153998976,0.0,False
gradient_boosting_original,ORIGINAL,validation,47.60736581334591,99.51278441463336,18.992126476229732,0.8771307991194082,161.41666666666666,254.1333333333332,2378,229.1461455486416,-228.66369615244398,0.9932716568544996,1195,330.78220630434726,-330.7016529002714,0.9974895397489539,47.607366,-1.8665409129425825e-07,99.512784,4.1463336231117864e-07,18.992126,4.762297329818921e-07,0.877131,-2.0088059182743478e-07,False
hist_gradient_boosting_original,ORIGINAL,validation,47.303739124914024,98.98254200491365,19.03431131764821,0.86872138247896,161.41666666666666,254.1333333333332,2378,227.5810333072216,-226.9803507279288,0.9941126997476871,1195,329.94002228958567,-329.9280500897169,0.999163179916318,47.303739,1.2491402401337837e-07,98.982542,4.9136588131659664e-09,19.034311,3.176482117339674e-07,0.868721,3.8247896005927373e-07,False
