model,feature_config,dataset,quantile_crossing_rate_raw,mean_width_p90_p50_h,mean_width_p95_p50_h,pinball_p50,pinball_p90,pinball_p95
hgb_quantile_log,ORIGINAL,calibration,0.02309108938943193,96.20862122542907,153.7141371366688,20.635437482064056,17.203359929702835,12.210678879573893
hgb_quantile_log,ORIGINAL,final_test,0.02309108938943193,103.61056054978486,164.3713991466923,20.970902025726243,16.696245520345524,11.74684994650756
hgb_quantile_log,ENRICHED_SAFE_HISTORY,calibration,0.034943570855173064,84.64822296189483,129.38134299340092,19.373298880332385,15.435534623481452,10.942650458343637
hgb_quantile_log,ENRICHED_SAFE_HISTORY,final_test,0.034943570855173064,87.39033657574363,134.7851726335985,19.345338317017276,15.16947383056671,10.70212746200867
baseline_quantile_hierarchical,ORIGINAL,calibration,0.0,104.08770934807043,165.6775352426002,20.640231594230052,17.251019201948292,12.143395269373679
baseline_quantile_hierarchical,ORIGINAL,final_test,0.0,103.53722867663399,164.28807617528486,20.961879225788017,16.60133638859791,11.599104531711271
