split,n_rows,period_start,period_end,target_mean_h,target_median_h,target_q90_h,target_q95_h
train,66909,2023-01-01 00:08:00,2024-06-30 23:30:00,70.01987201522466,36.9,161.41666666666666,254.1333333333332
validation,20362,2024-07-01 00:00:00,2024-12-31 22:40:00,77.41438709360574,42.50833333333333,180.47500000000036,278.0266666666668
calibration,21352,2025-01-01 00:05:00,2025-06-30 23:40:00,69.17576261396277,37.833333333333336,157.08333333333334,237.27916666666684
final_test,21002,2025-07-01 00:00:00,2025-12-31 23:00:00,70.39933022251849,39.71666666666667,159.16333333333338,241.98750000000018
